#comment: "This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/"
#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#version: 0.1
#versions
#  - ENVO: v2021-05-14
#  - SWEET: v3.5.0
#creator_id:
#  - orcid:0000-0003-4808-4736
#  - orcid:0000-0002-4366-3088
#  - orcid:0000-0002-8454-8481
#  - orcid:0000-0002-3410-4655
#  - orcid:0000-0001-7543-6173
#creator_label:
#  - Ruth Duerr
#  - Pier Luigi Buttigieg
#  - Kate Rose
#  - Kai Blumberg
#  - Nancy Wiegand
#curie_map:
#  ENVO: "http://purl.obolibrary.org/obo/ENVO_"
#  soreas: "http://sweetontology.net/realmSoil/"
#  sophatmow: "http://sweetontology.net/phenAtmoWind/"
#  soreac: "http://sweetontology.net/realmCryo/"
#  sophhy: "http://sweetontology.net/phenHydro/"
#  sorealg: "http://sweetontology.net/realmLandGlacial/"
#  sophgg: "http://sweetontology.net/phenGeolGeomorphology/"
#  sophatmopc: "http://sweetontology.net/phenAtmoPrecipitation/"
#  somaw: "http://sweetontology.net/matrWater/"
#  sophcr: "http://sweetontology.net/phenCryo/"
#  sophatmofr: "http://sweetontology.net/phenAtmoFront/"
#  soprocsc: "http://sweetontology.net/procStateChange/"
#  sophso: "http://sweetontology.net/phenSolid/"
#  sorea: "http://sweetontology.net/realm/"
#  soreahb: "http://sweetontology.net/realmHydroBody/"
#  sophatmofo: "http://sweetontology.net/phenAtmoFog/"
#  sophgf: "http://sweetontology.net/phenGeolFault/"
#  sorealo: "http://sweetontology.net/realmLandOrographic/"
#  sophatmowm: "http://sweetontology.net/phenAtmoWindMesoscale/"
#  soma: "http://sweetontology.net/matr/"
#  sophsy: "http://sweetontology.net/phenSystem/"
#  sophfd: "http://sweetontology.net/phenFluidDynamics/"
#  sophft: "http://sweetontology.net/phenFluidTransport/"
#  sorepsg: "http://sweetontology.net/reprSpaceGeometry/"
#  sopropst: "http://sweetontology.net/propSpaceThickness/"
#  soreacz: "http://sweetontology.net/realmClimateZone/"
#  orcid: "https://orcid.org/"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments
ENVO:01001524	frozen land	soreac:FrozenGround	frozen ground	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:01001555	frozen lead	soreac:Lead	lead	skos:relatedMatch	HumanCurated	SWEET doesn't have this level of granularity
ENVO:00002236	cryosol	soreas:Gelisol	gelisol	skos:relatedMatch	HumanCurated	In SWEET this in a classification scheme (a categorical datatype with value Gelisol), not a physical entity as it is represented in ENVO
ENVO:03000037	glacial ice ablation zone	soreac:AblationZone	ablation zone	skos:closeMatch	HumanCurated	Ablation zone is in the Cryospheric Realm of SWEET but it isn't clear exactly how that compares to the zones in ENVO where there is a hierarchy of zones
ENVO:01001352	glacial ice accumulation zone	soreac:AccumulationZone	accumulation zone	skos:closeMatch	HumanCurated	Accumulation zone is in the Cryospheric Realm of SWEET but it isn't clear exactly how that compares to the zones in ENVO where there is a hierarchy of zones
ENVO:03000029	glacial ice gain	sophcr:Glaciation	glaciation	skos:closeMatch	HumanCurated	This is the process of ice gain in glaciers
ENVO:01001655	glacial process	sophcr:GlacialProcess	glacial process	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:01001656	glacial retreat	sophcr:GlacierRetreat	glacier retreat	skos:relatedMatch	HumanCurated	SWEET aggregates several processes operating at different levels.  SWEET has close match to the ENVO term, but we aren't convinced
ENVO:01001641	glaciation	sophcr:Glaciation	glaciation	skos:relatedMatch	HumanCurated	Glaciation in ENVO refers to the time period when glaciers are growing.
ENVO:00000133	glacier	soreac:Glacier	glacier	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term. SWEET has this as exact match but is missing a definition.
ENVO:00000133	glacier	soreac:GlacialRegion	glacial region	skos:relatedMatch	HumanCurated	SWEET's term here is a zone.  There is no related term in ENVO so we made a related match to ENVO's glacier.
ENVO:01001529	glacier snout	soreac:GlacierTerminus	glacier terminus	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term
ENVO:01001529	glacier snout	soreac:Snout	snout	skos:relatedMatch	HumanCurated	ENVO term is a mass, SWEET term is a region although both probably reffer to the same part of the glacier.
