subject_id	subject_label	object_id	object_label	predicate_id	match_type	Comments																		
http://purl.obolibrary.org/obo/ENVO_00000516	hummock	" 	

http://sweetontology.net/realmLandOrographic/Hummock"	Hummock	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01000624	hydrological condensation process	http://sweetontology.net/procStateChange/Condensation	Condensation	skos:broadMatch	HumanCurated	These are both processes.  A better mapping would be to ENVO's condensation process.																		
http://purl.obolibrary.org/obo/ENVO_01000914	ice ablation zone	http://sweetontology.net/realmCryo/AblationZone	AblationZone	skos:closeMatch	HumanCurated	Mapped in SWEET to ENVO as close match. Possibly candidate exact match.																		
http://purl.obolibrary.org/obo/ENVO_01001618	ice accumulation process	http://sweetontology.net/phenCryo/Accumulation	Accumulation	skos:broadMatch	HumanCurated	Accumulation is a process in SWEET while ENVO distinguishes types of accumulation																		
http://purl.obolibrary.org/obo/ENVO_01001506	ice calf	http://sweetontology.net/realmCryo/Calf	Calf	skos:closeMatch	HumanCurated	Ice calf is a mass of ice in ENVO while the SWEET Cryospheric Realm term calf can only apply to calves of ice.  A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01000917	ice calving process	http://sweetontology.net/phenCryo/IceCalving	IceCalving	skos:closeMatch	HumanCurated	SWEET has no definition but the term is placed under the phenomenon heirarchy which is the equivalent of ENVO's processes																		
http://purl.obolibrary.org/obo/ENVO_00000145	ice cap	http://sweetontology.net/realmCryo/IceCap	IceCap	skos:relatedMatch	HumanCurated	"In ENVO ice cap is a type of ice mass; while in SWEET it is a realm. The notion of realm in SWEET and the way it's subclassed indicates that its top-level semantics need revision. An ice cap is not a realm, but part of a realm (probably). "																		
http://purl.obolibrary.org/obo/ENVO_00000299	ice field	http://sweetontology.net/realmCryo/IceField	IceField	skos:relatedMatch	HumanCurated	In SWEET ice field is sea ice; whereas in ENVO an ice cap is just a planetary body part																		
http://purl.obolibrary.org/obo/ENVO_03000065	ice floe	http://sweetontology.net/realmCryo/IceFloe	IceFloe	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_03000139	ice fog	http://sweetontology.net/phenAtmoFog/IceFog	IceFog	skos:relatedMatch	HumanCurated	In SWEET this is a Phenonena; while in ENVO it is an environmental material . 																		
http://purl.obolibrary.org/obo/ENVO_01001551	ice lead	http://sweetontology.net/realmCryo/Lead	Lead	skos:relatedMatch	HumanCurated	"In SWEET a lead is a water substance while in ENVO it is a layer (SWEET appears to confound composition and morphology) - also SWEET restricts leads to sea ice; while there are clearly leads in navigatable fresh water (e.g., great lakes) - SWEET issue needed"																		
http://purl.obolibrary.org/obo/ENVO_01000915	ice loss process	http://sweetontology.net/phenSystem/Loss	Loss	skos:broadMatch	HumanCurated	A phenomenon in SWEEt and a process in ENVO.																		
http://purl.obolibrary.org/obo/ENVO_03400005	ice pellet	http://sweetontology.net/phenAtmoPrecipitation/IcePellet	IcePellet	skos:relatedMatch	HumanCurated	"Within SWEET this is subclassed to both ice (a material) and atmospheric precipitation which is a process. If this were just a material it woud be a candidate exact match to ENVO, however having both parents makes this mapping ambiguous. "																		
http://purl.obolibrary.org/obo/ENVO_00000132	ice sheet	http://sweetontology.net/realmCryo/IceSheet	IceSheet	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_00000380	ice shelf	http://sweetontology.net/realmCryo/IceShelf	IceShelf	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_01001542	ice surface layer	http://sweetontology.net/realmCryo/IceSurface	IceSurface	skos:relatedMatch	HumanCurated	Related as the ENVO class is more generic; the SWEET class is specifically a planetary bounding layer.																		
http://purl.obolibrary.org/obo/ENVO_01001614	ice-bearing permafrost	http://sweetontology.net/realmSoil/Permafrost	Permafrost	skos:broadMatch	HumanCurated	"In SWEET this is a 3-D geospatial entity, instead of ENVO's environmental material."																		
http://purl.obolibrary.org/obo/ENVO_01001546	iceberg	http://sweetontology.net/realmCryo/Iceberg	Iceberg	skos:closeMatch	HumanCurated	A candidate for exact match if SWEET adds ENVO's definition to SWEET's term																		
http://purl.obolibrary.org/obo/ENVO_03000031	iceberg calving process	http://sweetontology.net/phenCryo/IceCalving	IceCalving	skos:broadMatch	HumanCurated	SWEET lacks more specific terms under ice calving																		
http://purl.obolibrary.org/obo/ENVO_01000882	icestorm	http://sweetontology.net/phenAtmoPrecipitation/IceStorm	IceStorm	skos:relatedMatch	HumanCurated	In ENVO this is a process while in SWEET it is a type of Atmospheric precipitation which is a phenomenon (which is ambiguous). The relations between the two term's superclass is what leads us to say related instead of close. 																		
http://purl.obolibrary.org/obo/ENVO_00000542	kame	http://sweetontology.net/realmLandGlacial/Kame	Kame	skos:relatedMatch	HumanCurated	In SWEET a kame is a glacial landform - a type of geometrical object; in ENVO a kame is a kind of material entity.																		
http://purl.obolibrary.org/obo/ENVO_03400007	lake-effect snow storm	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnowstorm	LakeEffectSnowstorm	skos:closeMatch	HumanCurated	Candidate Exact match. SWEET needs a definition and depending on what that becomes this could become exact match																		
http://purl.obolibrary.org/obo/ENVO_03400006	lake-effect snowfall	http://sweetontology.net/phenAtmoPrecipitation/LakeEffectSnow	LakeEffectSnow	skos:closeMatch	HumanCurated	Candidate Exact match. In SWEET there is a long comment which should be turned into a definition.  SWEET talks about snow bands not the snow itself.																		
http://purl.obolibrary.org/obo/ENVO_03400008	lambing storm	http://sweetontology.net/phenAtmoPrecipitation/LambingStorm	LambingStorm	skos:closeMatch	HumanCurated	Candidate Exact match. SWEET needs a definition and depending on what that becomes this could become exact match																		
