Geonames:A.ADM1	first-order administrative division	ENVO:00000005	first-order administrative region
Geonames:T.BCHS	beaches	ENVO:00000091	beach
Geonames:T.LAVA	lava area	ENVO:00000095	lava field
Geonames:T.CLDA	caldera	ENVO:00000096	caldera
Geonames:T.DSRT	desert	ENVO:00000097	desert
Geonames:T.ISL	island	ENVO:00000098	island
Geonames:T.ISLS	islands	ENVO:00000098	island
Geonames:T.ISLF	artificial island	ENVO:00000099	artificial island
Geonames:T.GRGE	gorge(s)	ENVO:00000100	valley
Geonames:T.VAL	valley	ENVO:00000100	valley
Geonames:T.VALS	valleys	ENVO:00000100	valley
Geonames:T.DLTA	delta	ENVO:00000101	delta
Geonames:T.ISLM	mangrove island	ENVO:00000103	mangrove island
Geonames:U.BSNU	basin	ENVO:00000104	undersea feature
Geonames:U.EDGU	shelf edge	ENVO:00000104	undersea feature
Geonames:U.ESCU	escarpment (or scarp)	ENVO:00000104	undersea feature
Geonames:U.FANU	fan	ENVO:00000104	undersea feature
Geonames:U.FLTU	flat	ENVO:00000104	undersea feature
Geonames:FRKU		ENVO:00000104	undersea feature
Geonames:FRSU		ENVO:00000104	undersea feature
Geonames:U.FURU	furrow	ENVO:00000104	undersea feature
Geonames:U.GAPU	gap	ENVO:00000104	undersea feature
Geonames:U.GLYU	gully	ENVO:00000104	undersea feature
Geonames:U.HOLU	hole	ENVO:00000104	undersea feature
Geonames:U.LDGU	ledge	ENVO:00000104	undersea feature
Geonames:U.LEVU	levee	ENVO:00000104	undersea feature
Geonames:MDVU		ENVO:00000104	undersea feature
Geonames:PLFU		ENVO:00000104	undersea feature
Geonames:U.PLNU	plain	ENVO:00000104	undersea feature
Geonames:U.PLTU	plateau	ENVO:00000104	undersea feature
Geonames:U.PNLU	pinnacle	ENVO:00000104	undersea feature
Geonames:U.PRVU	province	ENVO:00000104	undersea feature
Geonames:RAVU		ENVO:00000104	undersea feature
Geonames:U.RDGU	ridge	ENVO:00000104	undersea feature
Geonames:U.RDSU	ridges	ENVO:00000104	undersea feature
Geonames:U.RISU	rise	ENVO:00000104	undersea feature
Geonames:RMPU		ENVO:00000104	undersea feature
Geonames:U.SDLU	saddle	ENVO:00000104	undersea feature
Geonames:U.SHVU	shelf valley	ENVO:00000104	undersea feature
Geonames:U.SILU	sill	ENVO:00000104	undersea feature
Geonames:U.SPRU	spur	ENVO:00000104	undersea feature
Geonames:U.TERU	terrace	ENVO:00000104	undersea feature
Geonames:U.VALU	valley	ENVO:00000104	undersea feature
Geonames:U.VLSU	valleys	ENVO:00000104	undersea feature
Geonames:V.GRSLD	grassland	ENVO:00000106	grassland
Geonames:V.HTH	heath	ENVO:00000107	heath
Geonames:V.MDW	meadow	ENVO:00000108	meadow
Geonames:V.GRVPN	pine grove	ENVO:00000109	woodland
Geonames:V.FRST	forest(s)	ENVO:00000111	forest
Geonames:V.TUND	tundra	ENVO:00000112	tundra
Geonames:V.CULT	cultivated area	ENVO:00000113	cultivated habitat
Geonames:L.FLD	field(s)	ENVO:00000114	field
Geonames:V.OCH	orchard(s)	ENVO:00000115	orchard
Geonames:V.VIN	vineyard	ENVO:00000116	vineyard
Geonames:V.VINS	vineyards	ENVO:00000116	vineyard
Geonames:V.GRVC	coconut grove	ENVO:00000118	coconut plantation
Geonames:S.ESTO	oil palm plantation	ENVO:00000120	oil palm plantation
Geonames:V.GRVP	palm grove	ENVO:00000120	oil palm plantation
Geonames:R.TRL	trail	ENVO:00000122	track
Geonames:A.PCL	political entity	ENVO:00000123	political entity
Geonames:H.SPNS	sulphur spring(s)	ENVO:00000126	sulfur spring
Geonames:T.BDLD	badlands	ENVO:00000127	badland
Geonames:H.RVN	ravine(s)	ENVO:00000129	stream valley
Geonames:H.RF	reef(s)	ENVO:00000130	reef
Geonames:U.RFSU	reefs	ENVO:00000130	reef
Geonames:U.RFU	reef	ENVO:00000130	reef
Geonames:H.GLCR	glacier(s)	ENVO:00000133	glacier
