?x	?xl	?p	?pl	?y	?yl
<http://purl.obolibrary.org/obo/ENVO_02000000>	"hypodermic needle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00010621>	"medical instrument"
<http://purl.obolibrary.org/obo/ENVO_01000072>	"marine Taylor column"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000299>	"Taylor column"
<http://purl.obolibrary.org/obo/ENVO_01000300>	"atmospheric Taylor column"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000299>	"Taylor column"
<http://purl.obolibrary.org/obo/UBERON_0001471>	"skin of prepuce of penis"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0001331>	"skin of penis"
<http://purl.obolibrary.org/obo/UBERON_0003384>	"skeletal muscle tissue of pharynx"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004830>	"respiratory system skeletal muscle"
<http://purl.obolibrary.org/obo/ENVO_00000856>	"city"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000658>	"dense settlement"@en
<http://purl.obolibrary.org/obo/ENVO_01000653>	"slum"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000658>	"dense settlement"@en
<http://purl.obolibrary.org/obo/UBERON_0002084>	"heart left ventricle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0035553>	"left cardiac chamber"
<http://purl.obolibrary.org/obo/UBERON_0010395>	"lymph node primary follicle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010748>	"lymph node follicle"
<http://purl.obolibrary.org/obo/UBERON_0010753>	"lymph node secondary follicle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010748>	"lymph node follicle"
<http://purl.obolibrary.org/obo/CHEBI_50812>	"carbon nanostructure"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_33415>	"elemental carbon"
<http://purl.obolibrary.org/obo/UBERON_0008338>	"plantar part of pes"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0008837>	"palmar/plantar part of autopod"
<http://purl.obolibrary.org/obo/UBERON_0005377>	"olfactory bulb glomerular layer"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004001>	"olfactory bulb layer"
<http://purl.obolibrary.org/obo/UBERON_0004186>	"olfactory bulb mitral cell layer"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004001>	"olfactory bulb layer"
<http://purl.obolibrary.org/obo/UBERON_0009950>	"olfactory bulb plexiform layer"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004001>	"olfactory bulb layer"
<http://purl.obolibrary.org/obo/UBERON_0001152>	"cystic duct"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003703>	"extrahepatic bile duct"
<http://purl.obolibrary.org/obo/UBERON_0001174>	"common bile duct"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003703>	"extrahepatic bile duct"
<http://purl.obolibrary.org/obo/ENVO_01001071>	"impact crater"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"
<http://purl.obolibrary.org/obo/ENVO_03000089>	"methane-sourced permafrost crater"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"
<http://purl.obolibrary.org/obo/ENVO_00000096>	"caldera"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"
<http://purl.obolibrary.org/obo/ENVO_00000245>	"maar"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"
<http://purl.obolibrary.org/obo/ENVO_00000246>	"volcanic crater"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000514>	"crater"
<http://purl.obolibrary.org/obo/UBERON_0003466>	"forelimb zeugopod bone"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003460>	"arm bone"
<http://purl.obolibrary.org/obo/UBERON_0004250>	"upper arm bone"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003460>	"arm bone"
<http://purl.obolibrary.org/obo/UBERON_0004937>	"submucosa of pylorus"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0001200>	"submucosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0004935>	"submucosa of cardia of stomach"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0001200>	"submucosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0004933>	"submucosa of fundus of stomach"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0001200>	"submucosa of stomach"
<http://purl.obolibrary.org/obo/UBERON_0011362>	"cranial blood vasculature"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004537>	"blood vasculature"
<http://purl.obolibrary.org/obo/UBERON_0001593>	"venous plexus"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004537>	"blood vasculature"
<http://purl.obolibrary.org/obo/PO_0025497>	"collective plant structure"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/PO_0009011>	"plant structure"
<http://purl.obolibrary.org/obo/PO_0025496>	"multi-tissue plant structure"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/PO_0009011>	"plant structure"
<http://purl.obolibrary.org/obo/PO_0000003>	"whole plant"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/PO_0009011>	"plant structure"
<http://purl.obolibrary.org/obo/ENVO_01001053>	"saline aerosol environment"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01001040>	"saline environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000307>	"saline water environment"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01001040>	"saline environment"@en
<http://purl.obolibrary.org/obo/ENVO_01000609>	"motor boat"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000608>	"boat"@en
<http://purl.obolibrary.org/obo/UBERON_0008876>	"hypodermis skeletal muscle layer"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004253>	"skin muscle"
<http://purl.obolibrary.org/obo/CHEBI_28976>	"carbonic acid"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_36961>	"chalcocarbonic acid"
<http://purl.obolibrary.org/obo/NCBITaxon_3367>	"Cupressaceae"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/NCBITaxon_1446379>	"Cupressales"
<http://purl.obolibrary.org/obo/ENVO_01000307>	"saline water environment"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000317>	"aquatic environment"
<http://purl.obolibrary.org/obo/ENVO_01001042>	"sterile water environment"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000317>	"aquatic environment"
<http://purl.obolibrary.org/obo/ENVO_01000306>	"freshwater environment"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000317>	"aquatic environment"
<http://purl.obolibrary.org/obo/ENVO_01000344>	"nival"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000343>	"altitudinal condition"
<http://purl.obolibrary.org/obo/ENVO_01000342>	"montane"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000343>	"altitudinal condition"
<http://purl.obolibrary.org/obo/ENVO_01000340>	"alpine"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000343>	"altitudinal condition"
<http://purl.obolibrary.org/obo/ENVO_01000341>	"subalpline"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01000343>	"altitudinal condition"
<http://purl.obolibrary.org/obo/UBERON_0011222>	"intra-ocular muscle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004277>	"eye muscle"
<http://purl.obolibrary.org/obo/CHEBI_37163>	"glucan"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_37164>	"homopolysaccharide"
<http://purl.obolibrary.org/obo/UBERON_0004269>	"upper arm connective tissue"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003573>	"arm connective tissue"
<http://purl.obolibrary.org/obo/UBERON_0004268>	"lower arm connective tissue"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0003573>	"arm connective tissue"
<http://purl.obolibrary.org/obo/CHEBI_33848>	"polycyclic arene"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_33658>	"arene"
<http://purl.obolibrary.org/obo/CHEBI_33847>	"monocyclic arene"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_33658>	"arene"
<http://purl.obolibrary.org/obo/CHEBI_47032>	"1,4-dioxane"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_46923>	"dioxane"
<http://purl.obolibrary.org/obo/UBERON_0006916>	"non-keratinized epithelium of tongue"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010304>	"non-keratinized stratified squamous epithelium"
<http://purl.obolibrary.org/obo/UBERON_0006922>	"cervix squamous epithelium"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010304>	"non-keratinized stratified squamous epithelium"
<http://purl.obolibrary.org/obo/UBERON_0006763>	"epithelium of conjunctiva"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010304>	"non-keratinized stratified squamous epithelium"
<http://purl.obolibrary.org/obo/UBERON_0002198>	"neurohypophysis"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010134>	"secretory circumventricular organ"
<http://purl.obolibrary.org/obo/UBERON_0007829>	"pectoral girdle bone"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010741>	"bone of pectoral complex"
<http://purl.obolibrary.org/obo/UBERON_0008962>	"forelimb bone"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0010741>	"bone of pectoral complex"
<http://purl.obolibrary.org/obo/ENVO_03000091>	"permafrost methane explosion"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_03000090>	"explosion process"@en
<http://purl.obolibrary.org/obo/UBERON_0002363>	"dura mater"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0002360>	"meninx"
<http://purl.obolibrary.org/obo/UBERON_0003292>	"meninx of spinal cord"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0002360>	"meninx"
<http://purl.obolibrary.org/obo/UBERON_0003547>	"brain meninx"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0002360>	"meninx"
<http://purl.obolibrary.org/obo/ENVO_00000202>	"oxbow lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000199>	"meromictic lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001062>	"crater lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_03000035>	"supraglacial lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000201>	"fjord lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000455>	"tarn"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000377>	"artificial lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001076>	"oxic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000285>	"holomictic lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001106>	"landslide lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001105>	"aeolian lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001075>	"hypoxic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000165>	"asphalt lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000775>	"mesotrophic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000680>	"polluted lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000824>	"exorheic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000058>	"underground lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_03000053>	"intraglacial lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000774>	"oligotrophic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000197>	"endorheic lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000452>	"ribbon lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001022>	"natural lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000021>	"freshwater lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001073>	"lake with an anoxic hypolimnion"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000548>	"eutrophic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001074>	"lake with a hypoxic hypolimnion"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000488>	"glacial lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001021>	"humic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001072>	"anoxic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01000284>	"amictic lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001092>	"tectonic lake"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_00000019>	"saline lake"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/ENVO_01001077>	"lake with an oxic hypolimnion"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000020>	"lake"
<http://purl.obolibrary.org/obo/UBERON_0010042>	"1st arch mesenchyme"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0009494>	"pharyngeal arch mesenchymal region"
<http://purl.obolibrary.org/obo/UBERON_0005689>	"2nd arch mesenchyme"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0009494>	"pharyngeal arch mesenchymal region"
<http://purl.obolibrary.org/obo/UBERON_0010031>	"6th arch mesenchyme"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0009494>	"pharyngeal arch mesenchymal region"
<http://purl.obolibrary.org/obo/ENVO_00000477>	"mount"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000342>	"ice cap dome"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000182>	"plateau"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000527>	"interfluve"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000087>	"cliff"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000287>	"butte"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000539>	"sill"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000289>	"horst"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000542>	"kame"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000413>	"pingo"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000419>	"stack"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000398>	"volcanic cone"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000516>	"hammock"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00009686>	"ice rise"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000179>	"mesa"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_01000754>	"fumarole-derived ice tower"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000283>	"ridge"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000489>	"palsa"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000381>	"massif"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000410>	"kipuka"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/ENVO_00000481>	"pinnacle"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_00000176>	"elevation"
<http://purl.obolibrary.org/obo/UBERON_0002110>	"gall bladder"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0018707>	"bladder organ"
<http://purl.obolibrary.org/obo/UBERON_0001255>	"urinary bladder"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0018707>	"bladder organ"
<http://purl.obolibrary.org/obo/CHEBI_32876>	"tertiary amine"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_50996>	"tertiary amino compound"
<http://purl.obolibrary.org/obo/ENVO_01000458>	"concrete"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_0010003>	"agricultural environmental material"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000462>	"masonry cement"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_00000003>	"mine tailing"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000404>	"plastic"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000474>	"brick material"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_00002044>	"sludge"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_00002870>	"adobe"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000476>	"plaster"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_02000043>	"biological product"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_00003076>	"glue"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_02000123>	"paint"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/ENVO_01000461>	"refined asphalt"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_0010001>	"anthropogenic environmental material"
<http://purl.obolibrary.org/obo/CHEBI_33498>	"actinoid molecular entity"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/CHEBI_33677>	"f-block molecular entity"
<http://purl.obolibrary.org/obo/ENVO_01001014>	"monochrome solar rainbow"@en	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/ENVO_01001007>	"solar rainbow"@en
<http://purl.obolibrary.org/obo/UBERON_0004813>	"seminiferous tubule epithelium"	<http://www.w3.org/2000/01/rdf-schema#subClassOf>		<http://purl.obolibrary.org/obo/UBERON_0004910>	"epithelium of male gonad"
