Level	Rule Name	Subject	Property	Value
WARN	duplicate_scoped_synonym	NCBITaxon:3398	oboInOwl:hasRelatedSynonym	flowering plants
WARN	duplicate_scoped_synonym	NCBITaxon:40674	oboInOwl:hasExactSynonym	mammals
WARN	duplicate_scoped_synonym	NCBITaxon:40674	oboInOwl:hasRelatedSynonym	mammals
WARN	duplicate_scoped_synonym	NCBITaxon:4447	oboInOwl:hasExactSynonym	monocots
WARN	duplicate_scoped_synonym	NCBITaxon:4447	oboInOwl:hasRelatedSynonym	monocots
WARN	duplicate_scoped_synonym	NCBITaxon:4751	oboInOwl:hasExactSynonym	fungi
WARN	duplicate_scoped_synonym	NCBITaxon:4751	oboInOwl:hasRelatedSynonym	fungi
WARN	duplicate_scoped_synonym	NCBITaxon:58023	oboInOwl:hasExactSynonym	vascular plants
WARN	duplicate_scoped_synonym	NCBITaxon:58023	oboInOwl:hasRelatedSynonym	vascular plants
WARN	duplicate_scoped_synonym	NCBITaxon:58024	oboInOwl:hasExactSynonym	seed plants
WARN	duplicate_scoped_synonym	NCBITaxon:58024	oboInOwl:hasRelatedSynonym	seed plants
WARN	duplicate_scoped_synonym	NCBITaxon:6073	oboInOwl:hasExactSynonym	cnidarians
WARN	duplicate_scoped_synonym	NCBITaxon:6073	oboInOwl:hasRelatedSynonym	cnidarians
WARN	duplicate_scoped_synonym	NCBITaxon:6101	oboInOwl:hasExactSynonym	anthozoans
WARN	duplicate_scoped_synonym	NCBITaxon:6101	oboInOwl:hasRelatedSynonym	anthozoans
WARN	duplicate_scoped_synonym	NCBITaxon:6447	oboInOwl:hasExactSynonym	molluscs
WARN	duplicate_scoped_synonym	NCBITaxon:6447	oboInOwl:hasRelatedSynonym	molluscs
WARN	duplicate_scoped_synonym	NCBITaxon:6544	oboInOwl:hasExactSynonym	bivalves
WARN	duplicate_scoped_synonym	NCBITaxon:6544	oboInOwl:hasRelatedSynonym	bivalves
WARN	duplicate_scoped_synonym	NCBITaxon:6656	oboInOwl:hasExactSynonym	arthropods
