?label	?subset	?definition	?URI
"environment associated with an animal part or small animal"	"envoMeo"	"An environmental system determined by part of a living or dead animal, or a whole small animal."	"http://purl.obolibrary.org/obo/ENVO_01001055"
"ice planet"	"envoAstro"	"A planet which has a surface layer that nearly completely or completely covered by ice, and which has a substantial portion of its mass composed of ice."	"http://purl.obolibrary.org/obo/ENVO_01001137"
"environment associated with an aquatic invertebrate"	"envoMeo"	"An environment which has its properties and composition largely determined by the presence of a metazoan which lacks a vetebral column and which has a habitat that is found in an aquatic environmental system."	"http://purl.obolibrary.org/obo/ENVO_01001176"
"environment determined by a biofilm on a non-saline surface"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to non-saline materials."	"http://purl.obolibrary.org/obo/ENVO_01001051"
"sediment permeated by saline water"	"envoEmpo"	"Sediment which has its porespace filled by water with increased levels of sodium chloride and other salts."	"http://purl.obolibrary.org/obo/ENVO_01001036"
"saline water environment"	"envoPolar"	"An environmental system which has its properties and dynamics determined by saline water."	"http://purl.obolibrary.org/obo/ENVO_01000307"
"marine wind mixed layer"	"envoMarine"	"The upper part of the marine water column with generally uniform properties resulting from wind-driven mixing."	"http://purl.obolibrary.org/obo/ENVO_01000061"
"thaw hole"	"envoPolar"	"A channel which traverses an ice mass floating on a water body and bridges the atmosphere to the underlying water through its internal cavity."	"http://purl.obolibrary.org/obo/ENVO_03000048"
"root"	"http://purl.obolibrary.org/obo/po#Angiosperm"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"neritic mussel bed"	"envoCmecs"	"A mussel bed which is located in benthic regions that are part of a continental shelf."	"http://purl.obolibrary.org/obo/ENVO_01001389"
"artificial harbor"	"envoPolar"	"A harbor constructed by human agency."	"http://purl.obolibrary.org/obo/ENVO_00000464"
"slope flow"	"envoAtmo"	"An atmospheric wind which moves up or down a slope and is driven by heating or cooling of that slope."	"http://purl.obolibrary.org/obo/ENVO_01001732"
"pancake ice"	"envoPolar"	"A sea ice floe which has a rounded or circular shape and raised rims."	"http://purl.obolibrary.org/obo/ENVO_03000067"
"atmosphere-ocean momentum transfer process"	"envoMarine"	"A momentum transfer process which unfolds as winds generate drag at the bottom of the atmosphere,coupled to dynamical forcing at the surface of the ocean."	"http://purl.obolibrary.org/obo/ENVO_01001843"
"environment determined by a biofilm on a saline surface"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a biofilm on a surface which is exposed to saline materials."	"http://purl.obolibrary.org/obo/ENVO_01001056"
"large river delta biome"	"wwfBiome"	"A freshwater river biome which is determined by the delta of a large river."	"http://purl.obolibrary.org/obo/ENVO_00000889"
"ice calving process"	"envoPolar"	"A process during which a part of an ice mass breaks away from the main mass."	"http://purl.obolibrary.org/obo/ENVO_01000917"
"depositional process"	"envoPolar"	"A process during which material entities are added to a landform or to a feature upon the landform."	"http://purl.obolibrary.org/obo/ENVO_03000054"
"cyclonic circulation"	"envoAtmo"	"A mass fluid flow which moves  in the same direction as a planet's rotation, rotating due to a Coriolis effect."	"http://purl.obolibrary.org/obo/ENVO_01001748"
"area of emergent herbaceous wetland"	"nlcd2011"	"An area of a planet's surface which is primarily covered by perennial herbaceous vegetation and where the underlying soil or substrate is periodically saturated with or covered by water. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000894"
"snow layer"	"envoPolar"	"A cryospheric layer which is primarily composed of snow."	"http://purl.obolibrary.org/obo/ENVO_03000141"
"freezing"	"envoCryo"	"A material congelation process during which a liquid turns into a solid when its temperature is lowered below its melting point."	"http://purl.obolibrary.org/obo/ENVO_01001548"
"proglacial lake"	"envoPolar"	"A lake formed either by the damming action of a moraine or ice dam during the retreat of a melting glacier, or one formed by meltwater trapped against an ice mass due to isostatic depression of the crust around the ice."	"http://purl.obolibrary.org/obo/ENVO_00000435"
"biogeochemical cycling"	"envoPolar"	"A biogeochemical process during which one or more chemical compounds are sequentially converted into a series of related compounds in a regularly repeating, periodic fashion."	"http://purl.obolibrary.org/obo/ENVO_02500009"
"fragmentation due to weathering"	"envoPlastics"	"A fragmentation process which is caused by weathering."	"http://purl.obolibrary.org/obo/ENVO_06105028"
"tropical marine upwelling biome"	"wwfBiome"	"A marine upwelling biome which is subject to tropical climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000859"
"cooling-driven katabatic wind"	"envoAtmo"	"A katabatic wind which is driven by the cooling and subsequent sinking of atmospheric gas masses."	"http://purl.obolibrary.org/obo/ENVO_01001721"
"diurnal marine tidal flow process"	"envoCmecs"	"A tidal flow process which occurs once per day in ocean waters where a second daily oscillation is blocked by land masses or ocean basin geometry."	"http://purl.obolibrary.org/obo/ENVO_01001339"
"thermoplastic material"	"envoPlastics"	"An environmental material which is capable of, repeatedly, becoming plastic when heated and hardening again when cooled."	"http://purl.obolibrary.org/obo/ENVO_06105003"
"permanent marine thermocline"	"envoPolar"	"A marine thermocline which separates the marine cold-water sphere from the marine warm-water sphere and which does not dissipate seasonally."	"http://purl.obolibrary.org/obo/ENVO_01000106"
"environment determined by a biofilm on a plant surface"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a plant."	"http://purl.obolibrary.org/obo/ENVO_01001032"
"flaw lead"	"envoPolar"	"An ice lead between a mass of fast ice and a mass of pack ice."	"http://purl.obolibrary.org/obo/ENVO_01001552"
"concentration of carbon dioxide in air"	"envoNceas"	"The concentration of carbon dioxide when measured in air."	"http://purl.obolibrary.org/obo/ENVO_04000004"
"particulate environmental material"	"envoAtmo"	"An environmental material which is composed primarily of particles."	"http://purl.obolibrary.org/obo/ENVO_01000060"
"asthenosphere"	"envoPolar"	"An asthenosphere is a layer of a terrestrial-type planet or natural satellite which is highly viscous, mechanically weak, and ductilely deforming."	"http://purl.obolibrary.org/obo/ENVO_01000647"
"galaxy"	"envoAstro"	"A galaxy is a gravitationally bound system of stars, stellar remnants, interstellar gas, dust, and dark matter."	"http://purl.obolibrary.org/obo/ENVO_01000807"
"pitfall trap"	"envoCesab"	"An animal trap which consists of a container set flush with the ground such that animals moving along the ground may fall in and be available for examination or collection."	"http://purl.obolibrary.org/obo/ENVO_01000976"
"littering"	"envoPlastics"	"An anthropogenic environmental process during which waste is improperly disposed of into the environment."	"http://purl.obolibrary.org/obo/ENVO_06105108"
"X-ray stellar radiation"	"environmental_hazards"	"A stellar radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy."	"http://purl.obolibrary.org/obo/ENVO_01001217"
"nilas"	"envoPolar"	"A sea ice floe which is thin, elastic, continuous, and of a transparent gray color, which results from the freezing of new ice."	"http://purl.obolibrary.org/obo/ENVO_03000068"
"oceanic mussel bed"	"envoCmecs"	"A mussel bed which is located in benthic regions beyond (offshore to) a continental shelf."	"http://purl.obolibrary.org/obo/ENVO_01001388"
"planetary subsurface environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by the subsurface zone of a planet."	"http://purl.obolibrary.org/obo/ENVO_01001046"
"environment associated with a fungal tissue"	"envoEmpo"	"An environmental system determined by part of a living or dead fungus."	"http://purl.obolibrary.org/obo/ENVO_01001058"
"astronomical body"	"envoAstro"	"An object which is naturally occuring, bound together by gravitational or electromagnetic forces, and surrounded by space."	"http://purl.obolibrary.org/obo/ENVO_01000799"
"powdery snow"	"envoPolar"	"Uncompacted snow containing trapped atmospheric gases."	"http://purl.obolibrary.org/obo/ENVO_03000027"
"adfreezing"	"envoPolar"	"Adfreezing is a freezing process during which two objects adhere to each other via ice."	"http://purl.obolibrary.org/obo/ENVO_04000000"
"marine sediment"	"envoPolar"	"Sediment which has been transported through the marine water column, settling on the seafloor."	"http://purl.obolibrary.org/obo/ENVO_03000033"
"environment associated with a plant part or small plant"	"envoEmpo"	"An environmental system determined by part of a living or dead plant, or a whole small plant."	"http://purl.obolibrary.org/obo/ENVO_01001057"
"formation of a solid aerosol in an atmosphere"	"envoAtmo"	"A process during which an aerosol, consisting of solid particulates suspended in a gas, is formed in an atmosphere."	"http://purl.obolibrary.org/obo/ENVO_01001086"
"area of gramanoid or herbaceous vegetation"	"nlcd2011"	"An area of a planet's surface which is primarily covered by gramanoid or herbaceous vegetation and which is not subject to intensive management by humans. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000888"
"mussel reef"	"envoMarine"	"A marine reef which is primarily composed of self-adhered or conglomerated mussel shells."	"http://purl.obolibrary.org/obo/ENVO_01001386"
"tarn"	"envoPolar"	"A mountain lake that is formed in a cirque excavated by a glacier. A moraine may form a natural dam below a tarn."	"http://purl.obolibrary.org/obo/ENVO_00000455"
"estuarine coastal lower water column"	"envoMarine"	"A layer of estuarine water which extends from an estuarine pycnocline or mid-depth to the estuarine bed and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001314"
"dry-adiabatic process"	"envoAtmo"	"An adiabatic process during which no condensation of water vapor occurs and no liquid water is present."	"http://purl.obolibrary.org/obo/ENVO_01001724"
"altocumulus cloud"	"envoCloudAtlas"	"A cloud which 1) has been shaped into laminae, rounded masses or rolls, 2) is exclusively composed of water droplets, 3) is located in the middle level of the atmosphere (middle étage)."	"http://purl.obolibrary.org/obo/ENVO_01001409"
"planet"	"envoPolar"	"A planet is an astronomical body orbiting a star or stellar remnant that is massive enough to be rounded by its own gravity, is not massive enough to cause thermonuclear fusion, and has cleared its neighbouring region of planetesimals."	"http://purl.obolibrary.org/obo/ENVO_01000800"
"particle beam radiation"	"envoAstro"	"A particle radiation process during which subatomic particles move in the same direction."	"http://purl.obolibrary.org/obo/ENVO_01001025"
"giant gas planet"	"envoAstro"	"A gas planet which has mass and size comparable to Jupiter and Saturn."	"http://purl.obolibrary.org/obo/ENVO_01001124"
"litter role"	"envoPlastics"	"A role which 1) inheres in a material entity 2) is realised when that entity is discarded outside waste management systems by humans or their technologies."	"http://purl.obolibrary.org/obo/ENVO_06105109"
"peatland"	"envoPolar"	"A wetland ecosystem which accumulates acidic peat, a deposit of dead plant material."	"http://purl.obolibrary.org/obo/ENVO_00000044"
"hypersaline water"	"envoPolar"	"Water which contains a highly increased concentration of dissolved salts, surpassing the average salinity of seawater."	"http://purl.obolibrary.org/obo/ENVO_00002012"
"environment determined by a biofilm on a fungal surface"	"envoOmics"	"An environmental system which has its properties and dynamics determined by a biofilm on the surface of a fungus."	"http://purl.obolibrary.org/obo/ENVO_01001035"
"soil environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by soil."	"http://purl.obolibrary.org/obo/ENVO_01001044"
"secondary atmospheric aerosol formation event"	"envoAtmo"	"A secondary aerosol formation process which occurs in an atmosphere at an increased rate relative to background processes of the same kind."	"http://purl.obolibrary.org/obo/ENVO_01001373"
"obsolete terrestrial habitat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A habitat that is on or at the boundary of the surface of the Earth."	"http://purl.obolibrary.org/obo/ENVO_00002009"
"anabatic wind"	"envoAtmo"	"An upslope wind driven by heating at the slope surface under fair-weather conditions."	"http://purl.obolibrary.org/obo/ENVO_01001733"
"methane ice"	"envoAstro"	"Ice which is primarily composed of methane."	"http://purl.obolibrary.org/obo/ENVO_01001139"
"tropical shrubland biome"	"wwfBiome"	"A shrubland biome which is subject to tropical climate patterns."	"http://purl.obolibrary.org/obo/ENVO_01000214"
"hydrographic feature"	"envoPolar"	"A geographical feature associated with water."	"http://purl.obolibrary.org/obo/ENVO_00000012"
"biofouling"	"envoPlastics"	"A fouling process during which biological matter accumulates on a solid surface."	"http://purl.obolibrary.org/obo/ENVO_06105023"
"estuarine open water upper water column"	"envoCmecs"	"A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters until the end of the estuary most distal from the coast."	"http://purl.obolibrary.org/obo/ENVO_01001316"
"plastic pellet"	"envoPlastics"	"A piece of plastic which is 1) hard, 2) has a smooth external surface, and 3) has a roughly spherical or granular shape."	"http://purl.obolibrary.org/obo/ENVO_06105010"
"Bondon cheese environment"	"envoMeo"	"An environment which has its properties and composition determined by a portion of Bondon cheese."	"http://purl.obolibrary.org/obo/ENVO_01001180"
"cold occluded front"	"envoAtmo"	"An occluded front which is adjacent to a cold front 1) that is moving away from the coldest air in the vicinity,  2) where the neighbouring cold front undercuts the neighbouring warm front in the occulsion zone, and 3) where the coldest air in the vicinity replaces less cold air towards the surface of the astronomical body."	"http://purl.obolibrary.org/obo/ENVO_01001715"
"marine pycnocline"	"envoPolar"	"A pycnocline which is part of a marine water body and composed primarily of sea water."	"http://purl.obolibrary.org/obo/ENVO_01000077"
"sea ice"	"envoPolar"	"Water ice which has formed by the freezing of sea water."	"http://purl.obolibrary.org/obo/ENVO_00002200"
"falling sleet"	"envoPolar"	"An object aggregate which is primarily composed of particles of water in liquid, frozen, or partially frozen states."	"http://purl.obolibrary.org/obo/ENVO_03400009"
"hydrometeor"	"envoAtmo"	"A meteor which is primarily composed of water."	"http://purl.obolibrary.org/obo/ENVO_01001010"
"moraine"	"envoPolar"	"An accumulation of boulders, stones, or other debris carried and deposited by a glacier."	"http://purl.obolibrary.org/obo/ENVO_00000177"
"sea"	"envoMarine"	"A large expanse of saline water usually connected with an ocean."	"http://purl.obolibrary.org/obo/ENVO_00000016"
"warm season"	"envoPolar"	"A season during which the average temperature of a planetary part exceeds that of all other seasons it endures during a season generating process."	"http://purl.obolibrary.org/obo/ENVO_03000097"
"glacial ice loss"	"envoPolar"	"A process during which the mass of ice constituting a glacier decreases."	"http://purl.obolibrary.org/obo/ENVO_03000017"
"subglacial lake"	"envoPolar"	"A lake which is situated beneath a glacier."	"http://purl.obolibrary.org/obo/ENVO_03000120"
"sea floor"	"envoPlastics"	"A marine bed which lies below a sea."	"http://purl.obolibrary.org/obo/ENVO_00000482"
"alpine tundra ecosystem"	"envoPolar"	"A tundra ecosystem which exists at high altitudes and where vegetation is stunted due to low temperatures and high winds."	"http://purl.obolibrary.org/obo/ENVO_01001371"
"planetary cryosphere"	"envoPolar"	"A cryosphere which is part of a planet."	"http://purl.obolibrary.org/obo/ENVO_03000144"
"face skin environment"	"envoMeo"		"http://purl.obolibrary.org/obo/ENVO_2100005"
"stellar radiation"	"environmental_hazards"	"An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a star."	"http://purl.obolibrary.org/obo/ENVO_01001211"
"snow drift formation"	"envoPolar"	"An accumulation process during which a powdery snow carried on the wind settles on a solid surface, forming a mound."	"http://purl.obolibrary.org/obo/ENVO_03000104"
"freshwater biome"	"envoPolar"	"An aquatic biome which is determined by a body of freshwater."	"http://purl.obolibrary.org/obo/ENVO_00000873"
"ocean planet"	"envoAstro"	"A planet which has a surface layer that nearly completely or completely covered by water, and which has a substantial portion of its mass composed of water."	"http://purl.obolibrary.org/obo/ENVO_01001136"
"saline sediment environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by sediment permeated by saline water."	"http://purl.obolibrary.org/obo/ENVO_01001050"
"feather environment"	"envoMeo"		"http://purl.obolibrary.org/obo/ENVO_2100006"
"methane gas emission process"	"envoPolar"	"A hydrocarbon gas emission process during which a portion of methane gas is transported into the atmosphere."	"http://purl.obolibrary.org/obo/ENVO_03000094"
"dirt cone"	"envoPolar"	"A feature of a glacier, in which dirt, which has fallen into a hollow in the ice, forms a coating which insulates the ice below. The surrounding ice melts away, leaving the dirt cone."	"http://purl.obolibrary.org/obo/ENVO_00000430"
"iceberg calving process"	"envoPolar"	"A process during which a part of a glacier breaks away from the main mass as an iceberg."	"http://purl.obolibrary.org/obo/ENVO_03000031"
"permafrost crater derived from a methane explosion"	"envoPolar"	"A crater which is found in permafrost and formed as a result of an explosion fuelled by methane formerly contained in that permafrost."	"http://purl.obolibrary.org/obo/ENVO_03000089"
"areal flooding"	"environmental_hazards"	"Areal flooding is a flooding process in which flat or low-lying areas become inundated with water due to water input exceeding infiltration, evaporation, or run off."	"http://purl.obolibrary.org/obo/ENVO_01000717"
"tropical marine coral reef biome"	"wwfBiome"	"A marine coral reef biome which is located in a region with a tropical climate."	"http://purl.obolibrary.org/obo/ENVO_01000854"
"pedosphere"	"envoAstro"	"An astronomical body part which is composed of soil, subject to soil formation processes, and found on the surface of a lithosphere."	"http://purl.obolibrary.org/obo/ENVO_01000820"
"ocean biome"	"envoPolar"	"A marine biome which is determined by an ocean."	"http://purl.obolibrary.org/obo/ENVO_01000048"
"riverine flood"	"environmental_hazards"	"A riverine flood is a flood which is formed as a result of a river's flow rate exceeding the capacity of its channel."	"http://purl.obolibrary.org/obo/ENVO_01000712"
"radiation from a manufactured product"	"environmental_hazards"	"An electromagnetic radiation process during which electromagnetic waves or their quanta are emitted from a manufactured product."	"http://purl.obolibrary.org/obo/ENVO_01001501"
"refractory astrogeological material"	"envoAstro"	"A material which is composed primarily of chemical elements and compounds which have equilibrium condensation temperatures above approximately 1300 Kelvin and which are part of the crust or atmosphere of a moon or planet."	"http://purl.obolibrary.org/obo/ENVO_01001156"
"hypersaline water environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by hypersaline water."	"http://purl.obolibrary.org/obo/ENVO_01001043"
"polar front"	"envoPolar"	"A weather front which separates air masses of tropical and polar origin."	"http://purl.obolibrary.org/obo/ENVO_01001698"
"land ice mass"	"envoPolar"	"An ice mass which has formed over land."	"http://purl.obolibrary.org/obo/ENVO_01001547"
"erosionally enriched glacial ice"	"envoPolar"	"Glacial ice which contains material liberated during a glacial erosion process."	"http://purl.obolibrary.org/obo/ENVO_03000005"
"aquatic estuarine layer"	"envoPolar"	"A layer of liquid that is part of an estuary."	"http://purl.obolibrary.org/obo/ENVO_01001301"
"globular star cluster"	"envoAstro"	"A group of gravitationally bound stars."	"http://purl.obolibrary.org/obo/ENVO_01000805"
"warm core cyclone"	"environmental_hazards"	"A cyclone which rotates around an area low atmospheric pressure with increased temperature."	"http://purl.obolibrary.org/obo/ENVO_01001298"
"flooded grassland biome"	"wwfBiome"		"http://purl.obolibrary.org/obo/ENVO_01000195"
"lake channel"	"envoPolar"	"A channel of a watercourse which contains lake water."	"http://purl.obolibrary.org/obo/ENVO_00000397"
"particulate organic nitrogen"	"envoNceas"	"Particulate organic matter which is composed primarily of nitrogen."	"http://purl.obolibrary.org/obo/ENVO_04000014"
"cyclonic circulation"	"envoMarine"	"A mass fluid flow which moves  in the same direction as a planet's rotation, rotating due to a Coriolis effect."	"http://purl.obolibrary.org/obo/ENVO_01001748"
"cirrocumulus castellanus cloud"	"envoAtmo"	"A cirrocumulus cloud which 1) has linearly arranged cumuliform protuberances which resemble crenellated turrets or towers, some of which are taller than they are wide in some portion of their upper parts, 2) possess a lower region or base which connects these protuberances."	"http://purl.obolibrary.org/obo/ENVO_01001426"
"seasonal melting process"	"envoPolar"	"A material transformation process during which a material entity melts during a warm season."	"http://purl.obolibrary.org/obo/ENVO_03000099"
"environment determined by a metazoan secretion"	"envoMeo"	"An environmental system which has its properties and dynamics determined by a bodily secretion of a metazoan."	"http://purl.obolibrary.org/obo/ENVO_01001030"
"sea surface layer"	"envoPlastics"	"A surface layer which is part of an ocean or sea."	"http://purl.obolibrary.org/obo/ENVO_01001581"
"hours of sunshine"	"envoPolar"	"A one-dimensional temporal region during which an entity is exposed to stellar radiation."	"http://purl.obolibrary.org/obo/ENVO_09200037"
"lake-effect snowfall"	"envoCryo"	"Snowfall which 1) is localized, 2) is convective, and 3) occurs as a result of a cold, dry air mass absorbing heat and moisture as it flows over a lake with warmer waters."	"http://purl.obolibrary.org/obo/ENVO_03400006"
"glaciation"	"envoPolar"	"An interval of time within an ice age and during which temperatures fall resulting in planet-wide glacier advances."	"http://purl.obolibrary.org/obo/ENVO_01001641"
"animal trap"	"envoCesab"	"A manufactured product which is designed to catch and hold animals."	"http://purl.obolibrary.org/obo/ENVO_01000975"
"atmospheric storm"	"environmental_hazards"	"An atmospheric storm is a process in which a portion of an astronomical body's atmosphere is strongly perturbed from its prevaling weather."	"http://purl.obolibrary.org/obo/ENVO_01000877"
"drainage wind"	"envoAtmo"	"A downslope katabatic wind which is generated by the cooling of atmospheric gas in contact with terrain surfaces."	"http://purl.obolibrary.org/obo/ENVO_01001744"
"non-saline planetary subsurface environment"	"envoOmics"	"An environmental system which has its properties and dynamics determined by those parts of a planetary subsurface zone which are not saline."	"http://purl.obolibrary.org/obo/ENVO_01001047"
"multiyear ice formation process"	"envoPolar"	"A sea ice formation process during which seawater freezes into second year ice during the cold season, forming multiyear ice."	"http://purl.obolibrary.org/obo/ENVO_03000062"
"area of evergreen forest"	"nlcd2011"	"An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	"http://purl.obolibrary.org/obo/ENVO_01000843"
"nimbostratus cloud"	"envoAtmo"	"A cloud which 1) occurs in the form of a layer, 2) is composed of water droplets (sometimes supercooled) and raindrops, or snow crystals and snowflakes, or of a mixture of these liquid and solid particles, 3) is located in the middle level of the atmosphere (middle étage)."	"http://purl.obolibrary.org/obo/ENVO_01001411"
"lithometeor"	"envoAtmo"	"A meteor which is primarily composed of rock."	"http://purl.obolibrary.org/obo/ENVO_01001012"
"glacial ice thrusting"	"envoPolar"	"Glacial ice thrusting is an erosional process during which a moving glacier which has frozen to its bed surges forward and moves large sheets of sediment frozen to the glacial mass."	"http://purl.obolibrary.org/obo/ENVO_01000684"
"plant cell"	"http://purl.obolibrary.org/obo/po#reference"	"A cell which is a plant structure (PO:0009011)."	"http://purl.obolibrary.org/obo/PO_0009002"
"mass wasting flow"	"environmental_hazards"	"A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material."	"http://purl.obolibrary.org/obo/ENVO_01000696"
"ice shelf"	"envoPolar"	"An ice mass which 1) is attached to the coast 2) at least 2 meters in thickness 3) forms where a glacier or ice mass flows down to a coastline and onto the ocean surface and 4) grows by annual snow accumulation or by the seaward extension of land glaciers."	"http://purl.obolibrary.org/obo/ENVO_00000380"
"sea ice formation process"	"envoPolar"	"A material transformation process during which seawater freezes into sea ice."	"http://purl.obolibrary.org/obo/ENVO_03000044"
"cirrus fibratus cloud"	"envoAtmo"	"A cirrus cloud which occurs as a detached unit or a thin veil and consists of nearly straight or irregularly curved filaments that do not terminate in hooks or tufts."	"http://purl.obolibrary.org/obo/ENVO_01001418"
"anaerobic sediment"	"envoPolar"	"Sediment characterised by the absence of oxygen."	"http://purl.obolibrary.org/obo/ENVO_00002045"
"root"	"http://purl.obolibrary.org/obo/po#Potato"	"A plant axis (PO:0025004) that lacks shoot axis nodes (PO:0005004) and usually grows indeterminately."	"http://purl.obolibrary.org/obo/PO_0009005"
"urban flooding"	"environmental_hazards"	"Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems."	"http://purl.obolibrary.org/obo/ENVO_01000718"
"lake-effect snow storm"	"envoCryo"	"A snowstorm during which intense lake-effect snowfall occurs."	"http://purl.obolibrary.org/obo/ENVO_03400007"
"estuarine coastal upper water column"	"envoMarine"	"A layer of estuarine water which extends from the surface of the water column to the pycnocline or mid-depth and from the shore to a fiat boundary where the estuary bed below the water column reaches a depth of 4 meters."	"http://purl.obolibrary.org/obo/ENVO_01001312"
"plant-associated environment"	"envoEmpo"	"An environmental system determined by a green plant."	"http://purl.obolibrary.org/obo/ENVO_01001001"
"riverine flooding"	"environmental_hazards"	"Riverine flooding is a process in which the flow rate of river water exceeds the capacity of its channel, thus flooding neighbouring land. Bends and meanders in a river channel are particularly disposed to such flooding."	"http://purl.obolibrary.org/obo/ENVO_01000708"
"area of attached Modiolus assemblages"	"envoCmecs"	"An area which is dominated by dense accumulations of mussels, of the genus Modiolus, attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish)."	"http://purl.obolibrary.org/obo/ENVO_01001383"
"shuga"	"envoPolar"	"New ice, which is spongy, lumpy and opaque, and forms from water which freezes in an agitated water body."	"http://purl.obolibrary.org/obo/ENVO_03000075"
"ocean surface stress"	"envoMarine"	"A rate which inheres in an atmosphere-ocean momentum transfer process."	"http://purl.obolibrary.org/obo/ENVO_01001844"
"material decumulation process"	"envoPolar"	"A process during which a mass composed of one or more environmental materials, present within a given site, decreases."	"http://purl.obolibrary.org/obo/ENVO_03000016"
"microbial mat"	"http://purl.obolibrary.org/obo/envo#EnvO-Lite-GSC"	"A multi-layered sheet of micro-organisms, mainly bacteria and archaea. Microbial mats grow at interfaces between different types of material, mostly on submerged or moist surfaces but a few survive in deserts."	"http://purl.obolibrary.org/obo/ENVO_01000008"
"plant structure development stage"	"http://purl.obolibrary.org/obo/po#TraitNet"	"A stage in the life of a plant structure (PO:0009011) during which the plant structure undergoes developmental processes."	"http://purl.obolibrary.org/obo/PO_0009012"
"fresh water"	"envoPolar"	"Water which has a low concentration of dissolved solutes, particularly that of sodium chloride."	"http://purl.obolibrary.org/obo/ENVO_00002011"
"X-ray radiation"	"environmental_hazards"	"A radiation process during which penetrating electromagnetic radiation is emitted by high-energy electrons as they fall into a lower state of energy."	"http://purl.obolibrary.org/obo/ENVO_21001217"
"marine neritic zone"	"envoPolar"	"The water mass of an ocean directly above a continental shelf."	"http://purl.obolibrary.org/obo/ENVO_00000206"
"ultraviolet radiation"	"environmental_hazards"	"A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm."	"http://purl.obolibrary.org/obo/ENVO_21001216"
"icestorm"	"envoCryo"	"An atmospheric storm during which freezing rain falls and accumulates as ice on exposed surfaces."	"http://purl.obolibrary.org/obo/ENVO_01000882"
"sea water environment"	"envoPolar"	"An environmental system determined by seawater."	"http://purl.obolibrary.org/obo/ENVO_01000321"
"marine oxygen minimum zone"	"envoPolar"	"A marine water mass which is characterized by having much lower than normal dissolved oxygen concentrations persistently."	"http://purl.obolibrary.org/obo/ENVO_01000065"
"hydrological condensation process"	"envoPolar"	"Hydrological condensation is a process in which atmospheric water vapour undergoes a phase transition from the gas phase to the liquid phase."	"http://purl.obolibrary.org/obo/ENVO_01000624"
"saline aerosol environment"	"envoEmpo"	"An environmental system which has its properties and dynamics determined by a saline aerosol."	"http://purl.obolibrary.org/obo/ENVO_01001053"
"range of mounts"	"envoPolar"	"A field which includes at least two mounts connected by high ground and arranged in an approximately linear fashion."	"http://purl.obolibrary.org/obo/ENVO_00000478"
"permafrost methane explosion"	"envoPolar"	"An explosion during which methane-rich gas trapped in permafrost combusts."	"http://purl.obolibrary.org/obo/ENVO_03000091"
"young ice formation process"	"envoPolar"	"A sea ice formation process during which water freezes to the bottom of an existing nilas ice floe creating a thicker ice floe known as young ice."	"http://purl.obolibrary.org/obo/ENVO_03000059"
"clathrate material"	"envoPolar"	"A material which is primarily composed of a substance arranged as a lattice which can trap or contain other molecules."	"http://purl.obolibrary.org/obo/ENVO_01000850"
"rime"	"envoPolar"	"Water ice which 1) has a white or milky and opaque appearance, 2) has a granular texture, and 3) is formed as a result of the deposition and rapid freezing of supercooled water drops as they make contact with an exposed object."	"http://purl.obolibrary.org/obo/ENVO_01001848"
"sea"	"envoPolar"	"A large expanse of saline water usually connected with an ocean."	"http://purl.obolibrary.org/obo/ENVO_00000016"
"whole plant"	"http://purl.obolibrary.org/obo/po#reference"	"A plant structure (PO:0005679) which is a whole organism."	"http://purl.obolibrary.org/obo/PO_0000003"
