?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"tube well"	"A water well in which a long, 100–200 millimetres-wide, stainless steel tube or pipe is bored into an underground aquifer to lift water using a pump."						"http://purl.obolibrary.org/obo/ENVO_03600063"
"tubular paraffin lantern"	"A tubular paraffin lantern is a paraffin lantern which includes metal tubes in its casing that direct air to the burning wick."						"http://purl.obolibrary.org/obo/ENVO_01000568"
"tuff"	"Tuff is a type of rock made of volcanic ash ejected from a vent during a volcanic eruption."						"http://purl.obolibrary.org/obo/ENVO_01000661"
"tuff cone"	"A cone that is composed of consolidated volcanic ash."						"http://purl.obolibrary.org/obo/ENVO_01000664"
"tundra biome"	"A tundra ecosystem which is in its climactic successional state."					"http://purl.obolibrary.org/obo/envo#wwfBiome|http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/ENVO_03605022|http://purl.obolibrary.org/obo/ENVO_03605013"	"http://purl.obolibrary.org/obo/ENVO_01000180"
"tundra climate"	"A climate which 1) has a mean temperature for the warmest month of less than 10°C (50°F), but higher than 0°C (32°F), 2) is not conducive to a permanent surficial cover of snow or ice, and 3) supports a tundra ecosystem."					"http://purl.obolibrary.org/obo/envo#envoCryo|http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000140"
"tundra climatic condition"	"An tundra climatic condition is a polar condition in which at least one month's average temperature exceeds 0 degrees Celsius."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000370"
"tundra ecosystem"	"An ecosystem which 1) typically has monthly average temperatures below 10 degrees Celsius 2) has a low evapotranspiration ratio 3) is dominated by treeless terrain, covered by communities of low-growing vegetation such as dwarf shrubs, sedges and grasses, mosses, and lichens, 4) contains areas of soil underlain by permafrost with a thin active layer and 5) occurs in both polar and alpine regions (i.e., both high latitudes and high altitudes), and 5) does not have permanent snow or ice cover."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01001370"
"tundra mire"	"Peatlands with a shallow peat layer, only about 500 mm thick, dominated by sedges and grasses. They form in permafrost areas, covering around 110,000 to 160,000 km2 in Alaska, Canada, and the former USSR."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000187"
"tunnel"	"An underground or underwater passage."	"TUNNEL"			"natural tunnel|cave"	"http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000068"
"tunnel valley"	"A deep but narrow valley with a 'U' shaped cross-section and frequently a 'U' shaped plan which is usually found filled with glacial till. It is formed when the edge of an ice mass advances up a slope. Its length may be appropriately measured in centimetres or kilometres, depending on the circumstances of formation."				"rinnental|tunnel-vale"	"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000436"
"turbulent aquatic surface layer"	"A turbulent surface layer of a water body maintained by strong currents setting over submerged ridges or shoals or by winds opposing a current."		"overfall"				"http://purl.obolibrary.org/obo/ENVO_01000862"
"turlough"	"A container of an intermittent lake unique to the limestone areas of Ireland, mostly west of the River Shannon. Most turloughs flood in the autumn, usually some time in October, and then dry up some time between April and July."						"http://purl.obolibrary.org/obo/ENVO_00000454"
"turpentine"	"A fluid obtained by the distillation of resin harvested from living trees, primarily used as a solvent."	"spirit of turpentine|turps|oil of turpentine|wood turpentine"					"http://purl.obolibrary.org/obo/ENVO_03510034"
"tuya"	"A distinctive, flat-topped, steep-sided volcano formed when lava erupts through a thick glacier or ice sheet."						"http://purl.obolibrary.org/obo/ENVO_00000370"
"two-dimensional fiat ice surface"	"An two-dimensional continuant fiat boundary which overlaps the surface layer of a mass of ice."						"http://purl.obolibrary.org/obo/ENVO_01001544"
"two-dimensional fiat water ice surface"	"A two-dimensional fiat ice surface which overlaps the surface layer of a mass of water ice."						"http://purl.obolibrary.org/obo/ENVO_01001545"
"ultisol"	"A soil which has high mineral content and which contain no calcareous material, have less than 10% weatherable minerals its surface layer, and have less than 35% base saturation throughout its volume."	"red clay soil"				"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_01001397"
"ultrafine respirable suspended particulate matter"	"A portion of fine respirable suspended particulate matter is a form of particulate matter composed primarily of solid particles each with a diameter of  100 nanometers or less."						"http://purl.obolibrary.org/obo/ENVO_01000416"
"ultramafic lava"	"Lava which, relative to other lava types, has very high magnesium oxide content and less than 45 percent silica by weight."						"http://purl.obolibrary.org/obo/ENVO_01000235"
"ultrasound radiation"	"An acoustic radiation process during which waves that transmit sound energy at frequencies above 20 kHz are emitted by a source."						"http://purl.obolibrary.org/obo/ENVO_03500012"
"ultraviolet radiation"	"A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 10 nm and 400 nm."	"UV radiation"				"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_21001216"
"ultraviolet stellar radiation"	"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 10 nm and 400 nm."			"ultraviolet solar radiation"		"http://purl.obolibrary.org/obo/envo#envoAstro|http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01001216"
"umbrella"	"A canopy designed to protect against precipitation or sunlight."						"http://purl.obolibrary.org/obo/ENVO_02000052"
"umbrisol"	"Umbrisols are soils in which organic matter has accumulated within the mineral surface soil (in most cases with low base saturation) to the extent that it significantly affects the behaviour and utilization of the soil."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00002253"
"unburnt brick"	"An unburnt brick is a brick which has been air dried rather than dried at an elvated temperature in a kiln, furnace, or with similar technology ."						"http://purl.obolibrary.org/obo/ENVO_01000502"
"unburnt-brick exterior wall"	"An unburnt brick exterior wall is an exterior wall that is built from unburnt bricks."	"unburnt brick exterior wall"	"brick wall"				"http://purl.obolibrary.org/obo/ENVO_01000504"
"underground irrigation canal"	"A gently inclined underground tunnel bringing water for irrigation from an aquifer."						"http://purl.obolibrary.org/obo/ENVO_00000505"
"underground lake"	"A lake which is formed under the surface of the Earth. Such a lake may be associated with caves and aquifers and springs."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00000058"
"underground river"	"A river that is under the surface of the Earth."						"http://purl.obolibrary.org/obo/ENVO_00000059"
"underground stream"	"A stream that is under the surface of the Earth."						"http://purl.obolibrary.org/obo/ENVO_00000060"
"underground water"	"Water which has physicochemical properties determined by processes which occur beneath the planetary crust."				"subterranean water"	"http://purl.obolibrary.org/obo/ENVO_03605019|http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_00005792"
"underground water body"	"A geographical feature associated with water that is under the surface of the earth."						"http://purl.obolibrary.org/obo/ENVO_00000061"
"undersea feature"	"A hydrographic feature which is located below the surface of a marine water body."			"undersea ramp|ridge|plateau|undersea fork|fan|undersea moat|undersea median valley|ramp (seafloor)|plain|hole|ramp|undersea peak|undersea tongue|rise (seafloor)|undersea fan|pinnacle|undersea bank|undersea sill|undersea shelf|gully|moat (seafloor)|median valley|basin|forks|ridges|undersea furrow|gap|undersea ledge|undersea cliff|undersea levee|ravine|undersea basin|furrow|undersea spur|undersea pinnacle|fork|levee|undersea fracture zone|flat|undersea shelf valley|undersea shelf edge|undersea gap|undersea plain|rise|province|ledge|platform|undersea valley|undersea rise|undersea hole|shelf edge|saddle|hole (seafloor)|escarpment|undersea platform|undersea saddle|undersea terrace|undersea slope|undersea bench"	"valleys|subsea feature|valley|terrace|ocean floor feature|spur|sill|seafloor feature|underwater feature|tongue (seafloor)"		"http://purl.obolibrary.org/obo/ENVO_00000104"
"undersea trough"	"An undersea trough is a trough which is below a marine water body."				"deep|foredeep|swale"		"http://purl.obolibrary.org/obo/ENVO_01000654"
"understory"	"An understory is a layer of plant life which grows below the canopy without penetrating it."	"understorey|undergrowth|under story"				"http://purl.obolibrary.org/obo/ENVO_03605023"	"http://purl.obolibrary.org/obo/ENVO_01000335"
"unexploded-ordnance dump"	"A dump which contains ammunition, or other material intended for use during combat, that still has the potential to explode."						"http://purl.obolibrary.org/obo/ENVO_00002205"
"university building"	"An institutional building in which university services are performed."	"university college building|campus building"					"http://purl.obolibrary.org/obo/ENVO_03501131"
"university campus"	"An area of land on which a college or university and related institutional buildings are situated."		"campus"				"http://purl.obolibrary.org/obo/ENVO_00000467"
"upland soil"	"Soil which is part of some elevated land."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005786"
"upper air"	"An air mass which is part of the free atmosphere, including the troposphere and stratosphere."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001711"
"upper front"	"A weather front which is part of a mass of upper air."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001713"
"upper montane"	"An upper montane condition is a montane condition in which an altitude range falls immediately below the tree line."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01000345"
"upwelling"	"MERGED DEFINITION:\nTARGET DEFINITION: An oceanographic feature that involves wind-driven motion of dense, cooler, and usually nutrient-rich water towards the ocean surface, replacing the warmer, usually nutrient-deplete surface water.\n--------------------\nSOURCE DEFINITION: A marine upwelling is a net flow of marine water to the surface of the water column from deeper regions. This is often a result of surface water displacement off continental coasts by wind action. Localised upwellings may also occur along divergent fronts around eddies and along some of the major oceanographic features. Deeper waters often have higher nutrient content; consequently blooms of primary producers, such as planktonic algae, are generally observed around upwelling zones."	"marine upwelling"					"http://purl.obolibrary.org/obo/ENVO_01000005"
"uranium deposit"	"A mineral deposit that contains uranium ore."	"uranium ore deposit"					"http://purl.obolibrary.org/obo/ENVO_02000150"
"uranium mine"							"http://purl.obolibrary.org/obo/ENVO_02000093"
"uranium ore"	"Ore which contains uranium."						"http://purl.obolibrary.org/obo/ENVO_02000095"
"urban biome"	"An urban biome is a dense settlement biome which has been urbanised."						"http://purl.obolibrary.org/obo/ENVO_01000249"
"urban flooding"	"Urban flooding is a flooding process in which land or property in a built environment, particularly in more densely populated areas, is inundated due to the rate of water input exceeding that of water drainage provided by the environment's drainage systems."					"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000718"
"urban pollution"	"A pollution process that results in increased levels of pollutants in an urban environment."					"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_02500044"
"urban stormwater"	"Stormwater which accumulates in an urban ecosystem."	"urban storm water"				"http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_01001268"
"urea enriched soil"	"A portion of urea enriched soil is a portion of soil with elevated levels of urea."						"http://purl.obolibrary.org/obo/ENVO_00005753"
"urine material"	"An excreta material which is composed primarily of urine, a liquid excreta containing water and waste products made by the kidneys, stored in the bladder, and leaves the body through the urethra."						"http://purl.obolibrary.org/obo/ENVO_00002047"
"urology unit facility"	"A hospital unit facility which is used to provide urological medicine services."	"urology ward"					"http://purl.obolibrary.org/obo/ENVO_03501179"
"usage of an environment for business"	"A planned environmental usage process during which an environment supports facilities associated with commerce or the earning of a livelihood through means other than manufacturing or the provision of a public service."						"http://purl.obolibrary.org/obo/ENVO_01001451"
"usage of an environment for community and social services"	"A planned environmental usage process during which an environment supports welfare activities organised by the state or a local authority and carried out by trained personnel."						"http://purl.obolibrary.org/obo/ENVO_01001447"
"usage of an environment for defence"	"A planned environmental usage process during which an environment supports activities which aim to protect citizens or any geographical area by preparing for or by using military means to resist the attack of an enemy."						"http://purl.obolibrary.org/obo/ENVO_01001449"
"usage of an environment for industry"	"A planned environmental usage process during which an environment supports manufacturing facilities producing commodities that are sold with the expectation of recovering the total cost of production."						"http://purl.obolibrary.org/obo/ENVO_01001450"
"usage of an environment for infrastructure and utilities"	"A planned environmental usage process during which an environment supports 1) enterprises concerned with the provision to the public of essentials, such as electricity or water or 2) the basic network or foundation of capital facilities or community investments which are necessary to support economic and community activities."		"transportation"				"http://purl.obolibrary.org/obo/ENVO_01001445"
"usage of an environment for recreation"	"A planned environmental usage process during which humans access an environment in order to promote the refreshment of their physical and psychological health through relaxation and leisure activities."		"recreation|leisure"				"http://purl.obolibrary.org/obo/ENVO_01001443"
"usage of an environment for residential activity"	"A planned environmental usage process during which an environment supports the settlement and dwelling of a community of humans."		"residential"				"http://purl.obolibrary.org/obo/ENVO_01001446"
"usage of an environment for retail activity"	"A planned environmental usage process during which an environment supports the sale of goods to ultimate consumers, usually in small quantities."						"http://purl.obolibrary.org/obo/ENVO_01001448"
"usage of an environment for transportation"	"A planned environmental usage process during which an environment facilitates the movement of materials and material objects (persons or goods) from place to place, typically with the assistance of a vehicle."		"transportation"				"http://purl.obolibrary.org/obo/ENVO_01001444"
"utensil"	"A hand tool for domestic use, especially in the kitchen."						"http://purl.obolibrary.org/obo/ENVO_03501327"
"utility line"	"A cable used to trasmit electricity from its point of production to its point of consumption."						"http://purl.obolibrary.org/obo/ENVO_01000782"
"vacuum cleaner"	"A device that causes suction in order to remove debris from surfaces."	"hoover"	"vacuum"				"http://purl.obolibrary.org/obo/ENVO_03501251"
"vadose cave"	"A cave which is within a vadose zone."						"http://purl.obolibrary.org/obo/ENVO_01000369"
"vadose zone"	"An interface layer which 1) is primarily composed of solid materials, 2) separates the land surface and phreatic zone, and 3) contains groundwater at atmospheric pressure."	"unsaturated zone"				"http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000328"
"valley"	"A depression which has been formed as a result of erosion by water or ice and which is low-lying, bordered by higher ground, and especially elongate."			"glacial trough|shelf valley|gully|gulch|median valley|chasm|coulee|glacial gorge|dale"	"lavaka|trench|re-entrant|seachannel|graben|hollow|goe|ravine|vale|moat|strath|gorge|glen|water gap"	"http://purl.obolibrary.org/obo/ENVO_03605023"	"http://purl.obolibrary.org/obo/ENVO_00000100"
"valley glacier"	"A glacier which 1) flows for all or most of its length within the walls of a valley, in consequence having a distinct tongue and a well-defined outline and 2) descends from either high mountains, from an ice cap on a plateau, or from an ice sheet."						"http://purl.obolibrary.org/obo/ENVO_00000458"
"vanadium fume"	"Respirable vapor of vanadium."						"http://purl.obolibrary.org/obo/ENVO_02000115"
"vapourisation"	"A material transformation process during which a liquid material transitions into a gas phase."	"vaporization"					"http://purl.obolibrary.org/obo/ENVO_01000622"
"varnish"	"A clear transparent hard protective film or finish, primarily used for wood finishing applications."						"http://purl.obolibrary.org/obo/ENVO_03510021"
"vegetable garden soil"	"Garden soil which is part of a garden used for the cultivation of vegetables."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005779"
"vegetated area"	"A vegetated area is a geographic feature which has ground cover dominated by plant communities."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_01001305"
"vegetated hill"	"A hill which has a surface that is partially or wholly covered by plant communities."						"http://purl.obolibrary.org/obo/ENVO_01000943"
"vegetation layer"	"A layer which is determined by a form of vegetation."				"woodland layer|forest layer|forest stratum|woodland stratum"		"http://purl.obolibrary.org/obo/ENVO_01000355"
"vehicle"	"A vehicle is a mobile machine which transports people or cargo."						"http://purl.obolibrary.org/obo/ENVO_01000604"
"vein"	"A vein is a geological fracture which is filled with minerals precipitated out of an aqueous solution."						"http://purl.obolibrary.org/obo/ENVO_01000670"
"ventilated improved pit latrine"	"A ventilated improved pit latrine is a pit latrine which includes a vent pipe fitted to the pit with a flyscreen covering the pipe's outlet. Air currents moving across the outlet of the vent pipe create a vaccum which draws odors out of the latrine's superstructure."	"VIP latrine"	"ventilated pit latrine"				"http://purl.obolibrary.org/obo/ENVO_01000530"
"vertisol"	"A soil in which there is a high content of expansive clay known as montmorillonite that forms deep cracks in drier seasons or years. Alternate shrinking and swelling causes self-mulching, where the soil material consistently mixes itself, causing vertisols to have an extremely deep A horizon and no B horizon."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00002254"
"veterinary facility"	"A healthcare facility which is used to provide healthcare services to animals."						"http://purl.obolibrary.org/obo/ENVO_03501348"
"vibration process"	"A material transport process during which parts of an elastic material oscillate around their positions of equilibrium."	"vibration"					"http://purl.obolibrary.org/obo/ENVO_01001759"
"village"	"A village is a clustered human settlement or community, larger than a hamlet but smaller than a town, with a population ranging from a few hundred to a few thousand. Though often located in rural areas, the term urban village is also applied to certain urban neighbourhoods. Villages are normally permanent, with fixed dwellings; however, transient villages can occur. Further, the dwellings of a village are fairly close to one another, not scattered broadly over the landscape, as a dispersed settlement."						"http://purl.obolibrary.org/obo/ENVO_01000773"
"village biome"	"A village biome is an anthropogenic terrestrial biome which contains settlements such as villages, towns, and/or small cities and which is primarily used for agricultural activity."						"http://purl.obolibrary.org/obo/ENVO_01000246"
"vinasse"	"A manufactured product which is formed as a liquid byproduct generated during the rectification and distillation of ethanol."						"http://purl.obolibrary.org/obo/ENVO_03600022"
"vineyard"	"A place where grapes are grown for making wine, raisins or table grapes."	"vineyards"	"agricultural site|cropland"				"http://purl.obolibrary.org/obo/ENVO_00000116"
"violent environment"	"An environment in which humans are exposed to regularly occurring physical or emotional violence."						"http://purl.obolibrary.org/obo/ENVO_03500011"
"virga"			"A process in which precipitation falls from a cloud but evaporates or sublimes before making contact with a planetary surface."				"http://purl.obolibrary.org/obo/ENVO_01000837"
"visible spectrum radiation"	"A radiation process during which electromagnetic waves or their quanta are emitted at wavelengths between 380 nm and 760 nm."	"optical radiation"			"visible light"		"http://purl.obolibrary.org/obo/ENVO_21001215"
"visible spectrum radiation from a manufactured product"	"Radiation from a manufactured product during which light between the wavelenghts of 380 nm and 760 nm is emitted."	"optical radiation from a manufactured product"					"http://purl.obolibrary.org/obo/ENVO_01001502"
"visible spectrum stellar radiation"	"A stellar radiation process during which electromagnetic waves or their quanta are emitted from a star at wavelengths between 380 nm and 760 nm."	"optical stellar radiation"		"visible spectrum solar radiation"		"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001215"
"vitreous enamel"	"A smooth, durable vitreous coating which is made by fusing powdered glass to a substrate."	"porcelain enamel"					"http://purl.obolibrary.org/obo/ENVO_03510030"
"vitreous humor material"	"A bodily fluid material which is composed primarily of vitreous humor, a bodily fluid consisting of a clear gel that fills the space between the lens and the retina of the eyeball of humans and other vertebrates."	"vitreous humour material"					"http://purl.obolibrary.org/obo/ENVO_02000032"
"vivarium"	"A vivarium is an enclosure for keeping and raising organisms for observation or research. Often, a portion of the ecosystem for a particular species is simulated on a smaller scale, with controls for environmental conditions."						"http://purl.obolibrary.org/obo/ENVO_00010622"
"vog"	"A fog which is composed of liquid aerosols and gases derived from volcanic gas emissions (primarily sulfur oxides), formed when sulfur-bearing gases react with sunlight, oxygen, and moisture in an atmosphere."						"http://purl.obolibrary.org/obo/ENVO_01001258"
"volatile astrogeological material"	"A material which is composed primarily of chemical elements and compounds with relatively low boiling points, equilibrium condensation temperatures below 1300 Kelvin, and which are part of the crust or atmosphere of a moon or planet."				"volatile"	"http://purl.obolibrary.org/obo/envo#envoAstro"	"http://purl.obolibrary.org/obo/ENVO_01001154"
"volcanic arc"	"A chain of volcanic islands or mountains formed by plate tectonics as an oceanic tectonic plate subducts under another tectonic plate and produces magma."						"http://purl.obolibrary.org/obo/ENVO_00000351"
"volcanic ash"	"Volcanic ash is an environmental material which consists of fragments of pulverized rock, minerals, and volcanic glass, created during volcanic eruptions and measuring less than 2 millimetres in diameter. Volcanic ash is formed during explosive volcanic eruptions, phreatomagmatic eruptions and during transport in pyroclastic density currents."						"http://purl.obolibrary.org/obo/ENVO_01000701"
"volcanic cave"	"A cave formed in volcanic rock."				"lava cave"		"http://purl.obolibrary.org/obo/ENVO_00000322"
"volcanic cone"	"Built by fragments (called ejecta) thrown up (ejected) from a volcanic vent, piling up around the vent in the shape of a cone with a central crater."	"lava cone"	"cone"		"cone (geological)"		"http://purl.obolibrary.org/obo/ENVO_00000398"
"volcanic crater"	"A crater formed by a volcano, within which occurs a vent (or vents) from which magma erupts as gases, lava, and ejecta."				"crater"		"http://purl.obolibrary.org/obo/ENVO_00000246"
"volcanic crater glacier"	"A glacier which is contained in the site bounded by a volcanic crater."				"crater glacier"		"http://purl.obolibrary.org/obo/ENVO_01001354"
"volcanic crater lake"	"A lake contained within a volcanic crater."						"http://purl.obolibrary.org/obo/ENVO_00000052"
"volcanic crater zone"	"The site which is located in a volcanic crater."						"http://purl.obolibrary.org/obo/ENVO_01001356"
"volcanic dike"	"An intrusive igneous body. Its thickness is usually much smaller than its other two dimensions. Thickness can vary from sub-centimeter scale to many meters in thickness and the lateral dimensions can extend over many kilometers. A dike is an intrusion into a cross-cutting fissure, meaning a dike cuts across other pre-existing layers or bodies of rock, this means that a dike is always younger than the rocks that contain it. Dikes are usually high angle to near vertical in orientation, but subsequent tectonic deformation may rotate the sequence of strata through which the dike lies so that the latter becomes horizontal."	"volcanic dyke|igneous dike|dyke (geologic)"	"ridge"				"http://purl.obolibrary.org/obo/ENVO_00000498"
"volcanic eruption"	"A volcanic eruption is a process during which lava, tephra (ash, lapilli, volcanic bombs and blocks), and assorted gases are expelled from a volcanic vent or fissure."					"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000634"
"volcanic feature"	"A part of an astronomical body associated with a volcano - an opening, or rupture, in that body's surface or crust - which allows hot, molten rock, ash and gases to escape from deep below the surface."				"volcanic landform"		"http://purl.obolibrary.org/obo/ENVO_00000094"
"volcanic field"	"A geothermal field which is prone to localized volcanic activity."				"volcanic system|volcanic group|volcanic complex"		"http://purl.obolibrary.org/obo/ENVO_00000354"
"volcanic fissure"	"A linear volcanic vent through which lava erupts, usually without any explosive activity. The vent is usually a few meters wide and may be many kilometers long. Fissure vents can cause large flood basalts and hannels. The volcano can usually be seen as a crack in the ground or on the ocean floor. Narrow fissures can be filled in with lava that hardens."				"fissure|fissure vent"		"http://purl.obolibrary.org/obo/ENVO_00000408"
"volcanic rock"	"An igneous rock that results from magma reaching the surface either as lava or fragmental ejecta."						"http://purl.obolibrary.org/obo/ENVO_00002015"
"volcanic seismic vibration"	"A seismic vibration process which is caused by a volcanic eruption."				"volcanic seismicity"		"http://purl.obolibrary.org/obo/ENVO_01001761"
"volcanic soil"	"An andosol which derives its silica content from glass and tephra ejected during a volcanic eruption."						"http://purl.obolibrary.org/obo/ENVO_01001841"
"volcano"	"An opening, or rupture, in the Earth's surface or crust, which allows hot, molten rock, ash and gases to escape from deep below the surface."		"mount"			"http://purl.obolibrary.org/obo/ENVO_03605014|http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00000247"
"volume of cyanoacrylate"	"An environmental material which is primarily composed of cyanoacrolate."						"http://purl.obolibrary.org/obo/ENVO_03510038"
"volume of evaporation"	"The volume of some evaporation."	"evaporation volume"					"http://purl.obolibrary.org/obo/ENVO_09200025"
"volume of evapotranspiration"	"The volume of some evapotranspiration."	"evapotranspiration volume"					"http://purl.obolibrary.org/obo/ENVO_09200026"
"volume of hydrological precipitation"	"The volume of water which has fallen during a precipitation process."	"Niederschlagsmenge|precipitation amount"			"precipitation level|precipitation quantity|precipitation"		"http://purl.obolibrary.org/obo/ENVO_01001363"
"volume of rain"	"The volume of some rain."	"rain volume"					"http://purl.obolibrary.org/obo/ENVO_09200027"
"volume of runoff"	"The volume of some runoff."	"runoff volume"					"http://purl.obolibrary.org/obo/ENVO_09200024"
"vomit material"	"A bodily fluid material which is composed primarily of vomit, a bodily fluid consisting of the expulsed contents of the stomach of an organism disgorged through the mouth or nose."						"http://purl.obolibrary.org/obo/ENVO_00000338"
"wadi"	"A valley or ravine, bounded by relatively steep banks, which in the rainy season becomes a watercourse."	"wadis"		"wadi mouth|wadi bend|wadi junction"	"wash|arroyo|gully|nullah|coulee"	"http://purl.obolibrary.org/obo/ENVO_03605014"	"http://purl.obolibrary.org/obo/ENVO_00000031"
"wadi mouth"	"The lower terminus of a wadi where it widens into an adjoining floodplain, depression, or water body."						"http://purl.obolibrary.org/obo/ENVO_00000507"
"walk-in clinic"	"A medical clinic which is used to provide services to walk-in patients."	"walk-in centre"					"http://purl.obolibrary.org/obo/ENVO_03501192"
"warehouse"	"A warehouse is a building which is used for the storage of goods."						"http://purl.obolibrary.org/obo/ENVO_00003963"
"warehouse"	"An industrial building which is used to store goods."						"http://purl.obolibrary.org/obo/ENVO_03501233"
"warm core cyclone"	"A cyclone which rotates around an area low atmospheric pressure with increased temperature."	"warm-core cyclone"				"http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01001298"
"warm front"	"A weather front which is nonoccluded and which moves in the direction of the colder air mass it is adjacent to, such that warmer air will occupy the site where colder air was previously present."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001707"
"warm monomictic lake"	"A monomictic lake which does not freeze and is thermally stratified throughout most of the year, only mixing in winter when cooler temperatures ease stratification."						"http://purl.obolibrary.org/obo/ENVO_01000290"
"warm occluded front"	"An occluded front which is adjacent to a warm front 1) that is moving in the direction of the coldest air in the vicinity, 2) where the original cold front is forced aloft at the warm front surface, and 3) where the coldest air is replaced by less cold air at the surface of the astronomical body."					"http://purl.obolibrary.org/obo/envo#envoAtmo"	"http://purl.obolibrary.org/obo/ENVO_01001716"
"warm polymictic lake"	"A warm polymictic lake is a polymictic lake which is not covered by ice at any point during the year."						"http://purl.obolibrary.org/obo/ENVO_01000292"
"warm season"	"A season during which the average temperature of a planetary part exceeds that of all other seasons it endures during a season generating process."					"http://purl.obolibrary.org/obo/envo#envoPolar"	"http://purl.obolibrary.org/obo/ENVO_03000097"
"warm seep"							"http://purl.obolibrary.org/obo/ENVO_00002926"
"warm surface current"							"http://purl.obolibrary.org/obo/ENVO_01000101"
"warming of a fluid"	"A material warming process during which the thermal energy in a volume of fluid increases."						"http://purl.obolibrary.org/obo/ENVO_01001739"
"warming of a gas"	"A process of warming a fluid during which the thermal energy in a volume of gas increases."						"http://purl.obolibrary.org/obo/ENVO_01001740"
"warming of a liquid"	"A process of warming a fluid which includes a volume of liquid as a participant."						"http://purl.obolibrary.org/obo/ENVO_01001741"
"warming of a solid"	"A material warming process during which the thermal energy in a mass of solid material increases."						"http://purl.obolibrary.org/obo/ENVO_01001742"
"waste disposal process"	"A process during which materials deemed to be waste are transported away from a site."	"processo di smaltimento rifiuti|Abfallentsorgungsprozess|proceso de eliminación de residuos"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_01001260"
"waste material"	"A material which is not the desired output of a process and which is typically the input of a process which removes it from its producer (e.g. a disposal process)."						"http://purl.obolibrary.org/obo/ENVO_00002264"
"waste recycling process"	"A process during which materials deemed as waste are separated and converted into a form which can be used as input by the same processes which generated them."	"資源回收|proceso de reciclaje|Recycling-Prozess|processo di riciclo"				"http://purl.obolibrary.org/obo/envo#envoPlastics"	"http://purl.obolibrary.org/obo/ENVO_01000741"
"waste role"	"A role that is realized in some process wherein the bearer is discarded or not utilized further."						"http://purl.obolibrary.org/obo/ENVO_01000665"
"waste stabilization pond"	"A human construction which confines wastewater in a depression enclosed by earthen structures."	"waste stabilization lagoons|stabilization ponds|WSPs"					"http://purl.obolibrary.org/obo/ENVO_03600076"
"waste treatment plant"		"WWTP"					"http://purl.obolibrary.org/obo/ENVO_00002272"
