?label	?definition	?exactSynonym	?broadSynonym	?narrowSynonym	?relatedSynonym	?subsetType	?uri
"black smoker"	"A hydrothermal vent found on the ocean floor. The vents are formed in fields hundreds of meters wide when superheated water from below the Earth's crust comes through the ocean floor. The superheated water is rich in dissolved minerals from the crust, most notably sulfides, which crystallize to create a chimney-like structure around each vent. When the superheated water in the vent comes in contact with the cold ocean water, many minerals are precipitated, creating the distinctive black color. The metal sulfides that are deposited can become massive sulfide ore deposits in time."	"active chimney"			"oceanic vent|sea vent"	"http://purl.obolibrary.org/obo/ENVO_03605018"	"http://purl.obolibrary.org/obo/ENVO_00000218"
"blanket bog"	"A peatland whose development is mostly independent of basins or topographical features where water collects; it simply covers the landscape like a blanket. Peat develops due to a continuous supply of water from rainfall, maintaining waterlogged conditions on the ground. Blanket bogs are ombrotrophic or rain fed, and as a result their pH lies between 3.5 and 4.2."		"wetland"				"http://purl.obolibrary.org/obo/ENVO_00000511"
"blended biomass derived from sessile communities colonising an autonomous reef monitoring structure"	"Biomass which is composed primarily of sessile communities scraped from the plates of an autonomous reef monitoring structure (ARMS) and blended."		"sessile fraction"				"http://purl.obolibrary.org/obo/ENVO_01001863"
"blind thrust earthquake"	"A tectonic earthquake which occurs along a thrust fault which does not breach the surface of an astronomical body."						"http://purl.obolibrary.org/obo/ENVO_01001774"
"blind thrust fault"	"A thrust fault which does not breach the surface of an astronomical body."						"http://purl.obolibrary.org/obo/ENVO_01001775"
"blizzard"	"A blizzard is a severe snowstorm during which snowfall is transported by strong winds, sustained for several hours."			"purga|buran|boulbie"		"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/envo#envoCryo|http://purl.obolibrary.org/obo/envo#envoAtmo|http://purl.obolibrary.org/obo/envo#environmental_hazards"	"http://purl.obolibrary.org/obo/ENVO_01000903"
"blood material"	"A bodily fluid material which is composed primarily of blood, a bodily fluid composed of blood plasma and blood cells suspended within the plasma that circulates around the organism's body. Blood performs may important functions including the supplying of oxygen and nutrients, removal of waste, circulation of white blood cells, detection of antibodes, coagulation, transportation of antibodies and the regulation of pH and body temperature."						"http://purl.obolibrary.org/obo/ENVO_02000020"
"blood plasma material"	"A bodily fluid material which is composed primarily of blood plasma, a bodily fluid that comprises the liquid component of blood, in which the blood cells are suspended. It makes up about 55% of total blood volume."						"http://purl.obolibrary.org/obo/ENVO_02000027"
"blowhole"	"A hole in coastal rock through which sea water is forced by a rising tide or waves and spurted through an outlet into the air."						"http://purl.obolibrary.org/obo/ENVO_00000168"
"blowout"	"A sandy depression in a sand dune ecosystem (psammosere) caused by the removal of sediments by wind."						"http://purl.obolibrary.org/obo/ENVO_00000313"
"blue ice"	"Water ice containing little to no air bubbles resulting in a reduction of internal light scattering and, given sufficient volume, a blue appearance."					"http://purl.obolibrary.org/obo/envo#envoPolar|http://purl.obolibrary.org/obo/ENVO_03605019"	"http://purl.obolibrary.org/obo/ENVO_03000007"
"bluegrass field soil"	"Bluegrass field soil is a soil which is found in a field of Kentucky Bluegrass (Poa pratensis)."					"http://purl.obolibrary.org/obo/ENVO_03605015"	"http://purl.obolibrary.org/obo/ENVO_00005789"
"boat"	"A boat is a watercraft of any size which is able to float or plane on water."						"http://purl.obolibrary.org/obo/ENVO_01000608"
"bodily fluid material"	"An organic material which is primarily composed of some natural bodily fluid or secretion such as blood, semen, saliva, blood plasma, intracellular and interstitial fluids."						"http://purl.obolibrary.org/obo/ENVO_02000019"
"body of liquid"	"A liquid astronomical body part which is continuous and is delimited by physical discontinuities or non-liquid boundaries."						"http://purl.obolibrary.org/obo/ENVO_01001476"
"boiler slag"	"molten bottom ash from slag tap and cyclone type furnaces that turns into pellets that have a smooth glassy appearance after it is cooled with water."						"http://purl.obolibrary.org/obo/ENVO_02000130"
"boiling"	"Boiling is a form of vaporisation which occurs when a liquid is heated to a temperature at which the vapor pressure of the liquid is equal to the pressure exerted on the liquid by the surrounding environmental pressure."						"http://purl.obolibrary.org/obo/ENVO_01000623"
