?label	?exact	?broad	?narrow	?related	?subset	?uri
"concentration of chlorophyll a in liquid water"	"liquid water chlorophyll a concentration"					"http://purl.obolibrary.org/obo/ENVO_3100008"
"concentration of chlorophyll b in liquid water"	"liquid water chlorophyll b concentration"					"http://purl.obolibrary.org/obo/ENVO_3100009"
"concentration of chlorophyll in liquid water"	"liquid water chlorophyll concentration"					"http://purl.obolibrary.org/obo/ENVO_3100036"
"concentration of chlorophyllide a in liquid water"	"liquid water chlorophyllide a concentration"					"http://purl.obolibrary.org/obo/ENVO_3100010"
"concentration of cobalt in lake water"	"lake water cobalt concentration"					"http://purl.obolibrary.org/obo/ENVO_3200004"
"concentration of cobalt in snow"	"snow cobalt concentration"					"http://purl.obolibrary.org/obo/ENVO_3200042"
"concentration of cobalt in water ice"	"water ice cobalt concentration"					"http://purl.obolibrary.org/obo/ENVO_3200023"
"concentration of dioxygen in liquid water"	"liquid water dioxygen concentration"					"http://purl.obolibrary.org/obo/ENVO_3100011"
"concentration of divinyl chlorophyll a in liquid water"	"liquid water divinyl chlorophyll a concentration"					"http://purl.obolibrary.org/obo/ENVO_3100012"
"concentration of divinyl chlorophyll b in liquid water"	"liquid water divinyl chlorophyll b concentration"					"http://purl.obolibrary.org/obo/ENVO_3100013"
"concentration of dysprosium in lake water"	"lake water dysprosium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200005"
"concentration of dysprosium in snow"	"snow dysprosium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200043"
"concentration of dysprosium in water ice"	"water ice dysprosium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200024"
"concentration of europium in lake water"	"lake water europium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200006"
"concentration of europium in snow"	"snow europium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200044"
"concentration of europium in water ice"	"water ice europium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200025"
"concentration of fucoxanthin in liquid water"	"liquid water fucoxanthin concentration"					"http://purl.obolibrary.org/obo/ENVO_3100014"
"concentration of gadolinium in lake water"	"lake water gadolinium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200007"
"concentration of gadolinium in snow"	"snow gadolinium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200045"
"concentration of gadolinium in water ice"	"water ice gadolinium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200026"
"concentration of hydrogen peroxide in liquid water"	"liquid water hydrogen peroxide concentration"					"http://purl.obolibrary.org/obo/ENVO_3100016"
"concentration of hydrogen sulfide in liquid water"	"liquid water hydrogen sulfide concentration"					"http://purl.obolibrary.org/obo/ENVO_3100017"
"concentration of lanthanum in lake water"	"lake water lanthanum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200008"
"concentration of lanthanum in snow"	"snow lanthanum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200046"
"concentration of lanthanum in water ice"	"water ice lanthanum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200027"
"concentration of lithium in lake water"	"lake water lithium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200009"
"concentration of lithium in snow"	"snow lithium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200047"
"concentration of lithium in water ice"	"water ice lithium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200028"
"concentration of lutein in liquid water"	"liquid water lutein concentration"					"http://purl.obolibrary.org/obo/ENVO_3100019"
"concentration of methane in liquid water"	"liquid water methane concentration"					"http://purl.obolibrary.org/obo/ENVO_3100020"
"concentration of methanesulfonic acid in lake water"	"lake water methanesulfonic acid concentration"					"http://purl.obolibrary.org/obo/ENVO_3200010"
"concentration of methanesulfonic acid in snow"	"snow methanesulfonic acid concentration"					"http://purl.obolibrary.org/obo/ENVO_3200048"
"concentration of methanesulfonic acid in water ice"	"water ice methanesulfonic acid concentration"					"http://purl.obolibrary.org/obo/ENVO_3200029"
"concentration of molybdenum in lake water"	"lake water molybdenum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200011"
"concentration of molybdenum in snow"	"snow molybdenum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200049"
"concentration of molybdenum in water ice"	"water ice molybdenum concentration"					"http://purl.obolibrary.org/obo/ENVO_3200030"
"concentration of neodymium in lake water"	"lake water neodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200012"
"concentration of neodymium in snow"	"snow neodymium concentration"					"http://purl.obolibrary.org/obo/ENVO_3200050"
