?label	?subset	?def	?cls
"carbon dioxide emission process"@en	"envoPolar"	"A carbon emission process is any environmental process which releases carbon dioxide gas into the atmosphere."	<http://purl.obolibrary.org/obo/ENVO_01000769>
"sulphate-reducing sediment"	"envoPolar"	"Sediment hosting and characterised by active sulphate reducing microbial communities."	<http://purl.obolibrary.org/obo/ENVO_01000153>
"area of developed space with medium usage intensity"@en	"nlcd2011"	"An area of a planet's surface which is primarily covered by constructed or manufactured objects and materials covering from half to three-forths of its extent and by cultivated or anthropically maintained vegetation. Such areas are used for medium intensity purposes such as accommodating dense collections of single-family residential units. This area is in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction."	<http://purl.obolibrary.org/obo/ENVO_01000885>
"nunatak"	"envoPolar"	"The exposed summit of a ridge, mountain, or peak not covered with ice or snow within an ice field or glacier. The term is typically used in areas where a permanent ice mass is present."	<http://purl.obolibrary.org/obo/ENVO_00000181>
"ice floe"@en	"envoPolar"	"A cohesive sheet of water ice which floats upon the surface of a water body."	<http://purl.obolibrary.org/obo/ENVO_03000065>
"biogeochemical process"	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_02500030>
"deep chlorophyll maximum layer"	"envoPolar"	"A subsurface layer in a water body, typically an ocean or lake, in which chlorophyll concentrations reach their maximum."	<http://purl.obolibrary.org/obo/ENVO_01000326>
"liquefied hydrocarbon gas"@en	"envoPolar"		<http://purl.obolibrary.org/obo/ENVO_01000558>
"tsunami"@en	"environmental_hazards"	"A tsunami is a process during which a series of waves is generated in a water body, typically an ocean or large lake, by the displacement of a large volume of water. Earthquakes, volcanic eruptions and other underwater explosions (including detonations of underwater nuclear devices), landslides, glacier calvings, meteorite impacts and other disturbances above or below water all have the potential to generate a tsunami."	<http://purl.obolibrary.org/obo/ENVO_01000689>
"particulate matter"@en	"envoPolar"	"Particulate material is an environmental material which is composed of microscopic portions of solid or liquid material suspended in another environmental material."	<http://purl.obolibrary.org/obo/ENVO_01000060>
"thermokarst lake"@en	"envoPolar"	"A freshwater lake which fills a depression formed by the erosion of thermokarst caused by permafrost thaw."	<http://purl.obolibrary.org/obo/ENVO_03000082>
"brine rejection from seawater"@en	"envoPolar"	"A material transformation process during which brine is formed due to the expulsion of salt during frazil formation or a seawater freezing process."	<http://purl.obolibrary.org/obo/ENVO_03000045>
"cold desert"	"envoPolar"	"A cold desert is a desert which has hot summers and cold, dry winters with temperatures below 0 degrees Celsius"	<http://purl.obolibrary.org/obo/ENVO_01000382>
"soil pollution"	"environmental_hazards"	"A pollution process during which soil is contaminated."	<http://purl.obolibrary.org/obo/ENVO_02500038>
"marine aphotic zone"	"envoPolar"	"The zone of an ocean below 200m, in which photosynthesis cannot occur due to the lack of light."	<http://purl.obolibrary.org/obo/ENVO_00000210>
"snow"	"envoPolar"	"Snow is an environmental material which is primarily composed of flakes of crystalline water ice."	<http://purl.obolibrary.org/obo/ENVO_01000406>
"intraglacial lake"@en	"envoPolar"	"A lake which is comprised of meltwater located underneath or within a glacier."	<http://purl.obolibrary.org/obo/ENVO_03000053>
"strand crack"	"envoPolar"	"Fissure at the junction between an inland ice sheet, ice piedmont or ice rise and an ice shelf, the latter being subject to the rise and fall of the tide."	<http://purl.obolibrary.org/obo/ENVO_00009726>
"snowmelt"@en	"envoPolar"	"Snowmelt is a hydrological process in which water is produced by the melting of snow and becomes part of the hydrological surface runoff."	<http://purl.obolibrary.org/obo/ENVO_01000719>
"mass wasting flow"@en	"envoPolar"	"A mass wasting flow is a form of mass wasting during which the moving materials behave similarly to a flowing fluid. Water, air and ice are often involved in enabling fluidlike motion of the material."	<http://purl.obolibrary.org/obo/ENVO_01000696>
"atmospheric lightning"@en	"environmental_hazards"	"A sudden electrostatic discharge which occurs during an electrical storm as differentially charged atmospheric entities equalise their charge."	<http://purl.obolibrary.org/obo/ENVO_01000898>
"lower montane"	"envoPolar"	"A lower montane condition is a montane condition in which an altitude range falls immediately above mid-altitude forests."	<http://purl.obolibrary.org/obo/ENVO_01000346>
