x,xl,p,pl,y,yl
http://purl.obolibrary.org/obo/ENVO_01000730,lava flow process,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_01000231,lava
http://purl.obolibrary.org/obo/ENVO_01000702,ash fall process,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_01000660,tephra
http://purl.obolibrary.org/obo/ENVO_00002926,warm seep,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000015,ocean
http://purl.obolibrary.org/obo/ENVO_00000194,scree,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00000339,piece of rock
http://purl.obolibrary.org/obo/ENVO_01000447,roadside,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000064,road
http://purl.obolibrary.org/obo/ENVO_00000531,ice cap depression,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000145,ice cap
http://purl.obolibrary.org/obo/ENVO_00000311,kettle,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000312,sandur
http://purl.obolibrary.org/obo/ENVO_01000182,temperate desert biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
http://purl.obolibrary.org/obo/ENVO_01000710,flood,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_02500002,flooding
http://purl.obolibrary.org/obo/ENVO_01000487,brick building floor,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000474,brick material
http://purl.obolibrary.org/obo/ENVO_01000017,sand,http://purl.obolibrary.org/obo/RO_0001000,,http://purl.obolibrary.org/obo/ENVO_00001995,rock
http://purl.obolibrary.org/obo/ENVO_01000224,mediterranean grassland biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000207,mediterranean
http://purl.obolibrary.org/obo/ENVO_00000053,freshwater marsh,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_00002011,fresh water
http://purl.obolibrary.org/obo/ENVO_01000157,microbial mat material,http://purl.obolibrary.org/obo/RO_0001000,,http://purl.obolibrary.org/obo/ENVO_01000008,microbial mat
http://purl.obolibrary.org/obo/ENVO_02500031,hydrological process,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00002006,water
http://purl.obolibrary.org/obo/ENVO_01000353,marine mesoscale eddy field,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000069,mesoscale marine eddy
http://purl.obolibrary.org/obo/ENVO_01000212,temperate mixed forest biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
http://purl.obolibrary.org/obo/ENVO_00000485,sea shore,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000303,sea coast
http://purl.obolibrary.org/obo/ENVO_01000066,marine anoxic zone,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00001999,marine water body
http://purl.obolibrary.org/obo/ENVO_01000721,icemelt,http://purl.obolibrary.org/obo/RO_0002233,,http://purl.obolibrary.org/obo/ENVO_01000277,water ice
http://purl.obolibrary.org/obo/ENVO_01000263,cold seep,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000482,sea floor
http://purl.obolibrary.org/obo/ENVO_01000189,temperate savanna biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000206,temperate
http://purl.obolibrary.org/obo/ENVO_01000661,tuff,http://purl.obolibrary.org/obo/RO_0002353,,http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption
http://purl.obolibrary.org/obo/ENVO_00000383,stream bed,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000023,stream
http://purl.obolibrary.org/obo/ENVO_01000488,wooden building floor,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002040,wood
http://purl.obolibrary.org/obo/ENVO_01000683,glacial plucking,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00000133,glacier
http://purl.obolibrary.org/obo/ENVO_00000256,floodway,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000255,flood plain
http://purl.obolibrary.org/obo/ENVO_01000073,marine oligotrophic desert,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_00002149,sea water
http://purl.obolibrary.org/obo/ENVO_01000690,mass wasting,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00002000,slope
http://purl.obolibrary.org/obo/ENVO_00000501,bed,http://purl.obolibrary.org/obo/RO_0002220,,http://purl.obolibrary.org/obo/ENVO_00000063,water body
http://purl.obolibrary.org/obo/ENVO_01000616,motorscooter,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000610,motor
http://purl.obolibrary.org/obo/ENVO_00000006,second-order administrative region,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000005,first-order administrative region
http://purl.obolibrary.org/obo/ENVO_01000525,intrusion,http://purl.obolibrary.org/obo/RO_0002354,,http://purl.obolibrary.org/obo/ENVO_01000738,intrusion process
http://purl.obolibrary.org/obo/ENVO_00000385,stream mouth,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000023,stream
http://purl.obolibrary.org/obo/ENVO_00003914,chalk soil,http://purl.obolibrary.org/obo/envo#has_increased_levels_of,,http://purl.obolibrary.org/obo/ENVO_00002054,chalk
http://purl.obolibrary.org/obo/ENVO_02500002,flooding,http://purl.obolibrary.org/obo/RO_0000057,,http://purl.obolibrary.org/obo/ENVO_00000063,water body
http://purl.obolibrary.org/obo/ENVO_01000223,montane savanna biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000342,montane
http://purl.obolibrary.org/obo/ENVO_01000339,polar biome,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000238,polar
http://purl.obolibrary.org/obo/ENVO_02500018,algal bloom process,http://purl.obolibrary.org/obo/BFO_0000066,,http://purl.obolibrary.org/obo/ENVO_01000317,aquatic environment
http://purl.obolibrary.org/obo/ENVO_01000470,building envelope,http://purl.obolibrary.org/obo/BFO_0000051,,http://purl.obolibrary.org/obo/ENVO_01000469,exterior wall
http://purl.obolibrary.org/obo/ENVO_01000634,volcanic eruption,http://purl.obolibrary.org/obo/RO_0002234,,http://purl.obolibrary.org/obo/ENVO_01000266,water vapour
http://purl.obolibrary.org/obo/ENVO_01000387,tropical deciduous broadleaf forest,http://purl.obolibrary.org/obo/envo#has_condition,has_condition,http://purl.obolibrary.org/obo/ENVO_01000204,tropical
http://purl.obolibrary.org/obo/ENVO_02500001,desertification,http://purl.obolibrary.org/obo/RO_0002234,,http://purl.obolibrary.org/obo/ENVO_00000097,desert
http://purl.obolibrary.org/obo/ENVO_00000148,riffle,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000023,stream
http://purl.obolibrary.org/obo/ENVO_01000274,slate,http://purl.obolibrary.org/obo/RO_0001000,,http://purl.obolibrary.org/obo/ENVO_01000271,clastic sedimentary rock
http://purl.obolibrary.org/obo/ENVO_00000399,ash cone,http://purl.obolibrary.org/obo/RO_0002473,,http://purl.obolibrary.org/obo/ENVO_01000701,volcanic ash
http://purl.obolibrary.org/obo/ENVO_00000201,fjord lake,http://purl.obolibrary.org/obo/RO_0001025,,http://purl.obolibrary.org/obo/ENVO_00000039,fjord
http://purl.obolibrary.org/obo/ENVO_00000307,icefall,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000133,glacier
http://purl.obolibrary.org/obo/ENVO_01000145,marine coral reef back reef,http://purl.obolibrary.org/obo/BFO_0000050,,http://purl.obolibrary.org/obo/ENVO_00000150,coral reef
